DOI,poci,openalex,coci,venue,publication_year,is_oa
10.1117/1.jmi.4.4.041302,True,True,True,Journal of medical imaging,2017,True
10.1117/1.jmi.3.1.014003,True,True,False,Journal of medical imaging,2016,True
10.1016/j.media.2016.07.009,True,True,True,Medical Image Analysis,2017,True
10.1117/1.jmi.3.4.046002,True,True,True,Journal of medical imaging,2016,True
10.3969/j.issn.1673-4254.2017.03.12,True,False,False,,2017,True
10.18383/j.tom.2017.00005,True,True,False,Tomography,2017,True
10.1088/1361-6560/ab8cd6,True,True,True,Physics in Medicine and Biology,2020,True
10.1007/s11548-018-1841-4,True,True,True,International Journal of Computer Assisted Radiology and Surgery,2018,True
10.3390/cancers11091235,True,True,True,Cancers,2019,True
10.1002/mp.14337,True,True,True,Medical Physics,2020,True
10.3390/cancers12051204,True,True,True,Cancers,2020,True
10.1371/journal.pone.0211944,True,True,True,PLOS ONE,2019,True
10.1155/2019/1464592,True,True,True,International Journal of Biomedical Imaging,2019,True
10.1117/1.jmi.6.1.014501,False,True,True,Journal of medical imaging,2019,True
10.1038/s41598-019-57046-x,True,True,True,Scientific Reports,2020,True
10.1002/mp.14327,True,True,True,Medical Physics,2020,True
10.3390/s20113183,True,True,False,Sensors,2020,True
10.1117/12.2216424,True,True,True,Proceedings of SPIE,2016,True
10.1002/mp.13416,True,True,True,Medical Physics,2019,True
10.1117/1.jmi.6.4.044001,True,True,True,Journal of medical imaging,2019,True
10.1016/j.media.2019.04.008,True,True,True,Medical Image Analysis,2019,True
10.1109/tnnls.2018.2870182,True,True,True,IEEE transactions on neural networks and learning systems,2019,True
10.1038/s41467-018-07619-7,True,True,True,Nature Communications,2018,True
10.1117/12.2512282,True,True,True,Proceedings of SPIE,2019,True
10.1117/1.jmi.5.2.021208,True,True,False,Journal of medical imaging,2018,True
10.1007/s10278-018-0169-5,True,True,True,Journal of Digital Imaging,2019,True
10.1117/1.jmi.6.1.011003,True,True,False,Journal of medical imaging,2019,True
10.1117/1.jmi.5.4.044507,True,True,True,Journal of medical imaging,2018,True
10.1117/1.jmi.5.4.044501,True,True,True,Journal of medical imaging,2018,True
10.1007/s00066-020-01607-x,True,True,True,Strahlentherapie Und Onkologie,2020,True
10.1016/j.media.2019.101558,True,True,True,Medical Image Analysis,2019,True
10.1109/tmi.2020.2973595,True,True,True,IEEE Transactions on Medical Imaging,2020,True
10.1007/s00066-018-1348-5,True,True,True,Strahlentherapie Und Onkologie,2019,True
10.1016/j.cmpb.2022.106883,True,True,True,Computer Methods and Programs in Biomedicine,2022,True
10.1007/s42979-022-01166-1,True,True,True,SN computer science,2022,True
10.1002/jmri.27978,True,True,False,Journal of Magnetic Resonance Imaging,2022,True
10.3390/bioengineering9090467,True,True,True,Bioengineering,2022,True
10.3390/diagnostics12071690,True,True,False,Diagnostics,2022,True
10.3389/fnins.2022.1009581,True,True,True,Frontiers in Neuroscience,2022,True
10.1007/s11548-022-02730-z,True,True,True,International Journal of Computer Assisted Radiology and Surgery,2022,True
10.1038/s41598-022-16828-6,True,True,False,Scientific Reports,2022,True
10.1371/journal.pone.0096873,True,False,False,PLOS ONE,2014,True
10.1038/sdata.2015.3,True,True,False,Scientific Data,2015,True
10.1371/journal.pone.0125143,True,True,False,PLOS ONE,2015,True
10.1016/j.media.2017.10.002,True,True,True,Medical Image Analysis,2018,True
10.1186/s40644-015-0047-z,True,True,True,Cancer Imaging,2015,True
10.1016/j.nicl.2017.02.007,True,True,True,NeuroImage: Clinical,2017,True
10.1371/journal.pone.0173900,True,True,True,PLOS ONE,2017,True
10.1016/j.neuroimage.2015.08.002,True,True,False,NeuroImage,2015,True
10.1080/02656736.2017.1319974,True,True,True,International Journal of Hyperthermia,2018,True
10.1109/tmi.2015.2502596,True,True,False,IEEE Transactions on Medical Imaging,2016,True
10.1038/srep25007,True,True,True,Scientific Reports,2016,True
10.1155/2016/8356294,True,True,True,Computational and Mathematical Methods in Medicine,2016,True
10.1007/978-3-319-10404-1_95,True,False,False,Springer International Publishing eBooks,2014,True
10.1371/journal.pone.0185844,True,True,True,PLOS ONE,2017,True
10.1117/12.2254034,True,True,True,Proceedings of SPIE,2017,True
10.3389/fnsys.2015.00030,True,True,True,Frontiers in Systems Neuroscience,2015,True
10.1155/2017/8381094,True,True,True,BioMed Research International,2017,True
10.1371/journal.pone.0165302,True,True,False,PLOS ONE,2016,True
10.1186/s12880-017-0198-4,True,True,True,BMC Medical Imaging,2017,True
10.1093/neuonc/now086,True,True,True,Neuro-oncology,2016,True
10.1109/isbi.2015.7164170,True,True,False,International Symposium on Biomedical Imaging,2015,True
10.1038/sdata.2016.3,True,True,True,Scientific Data,2016,True
10.18383/j.tom.2016.00166,True,True,False,Tomography,2016,True
10.1002/mp.12481,True,True,True,Medical Physics,2017,True
10.1109/tmi.2016.2528162,True,True,True,IEEE Transactions on Medical Imaging,2016,True
10.18383/j.tom.2016.00181,True,True,False,Tomography,2016,True
10.1186/s12938-016-0153-6,True,True,True,Biomedical Engineering Online,2016,True
10.1371/journal.pone.0180268,True,True,True,PLOS ONE,2017,True
10.1109/bhi.2016.7455914,True,True,False,IEEE-EMBS International Conference on Biomedical and Health Informatics,2016,True
10.1016/j.neuroimage.2016.12.064,True,True,True,NeuroImage,2017,True
10.1016/j.nicl.2017.06.016,True,True,True,NeuroImage: Clinical,2017,True
10.1007/s10278-017-9983-4,True,True,True,Journal of Digital Imaging,2017,True
10.1117/1.jmi.4.3.034001,True,True,True,Journal of medical imaging,2017,True
10.1088/1361-6560/aa7c41,True,True,True,Physics in Medicine and Biology,2017,True
10.1016/j.media.2015.06.012,True,False,False,Medical Image Analysis,2015,True
10.1371/journal.pone.0164891,True,True,True,PLOS ONE,2016,True
10.1371/journal.pone.0146388,True,True,True,PLOS ONE,2016,True
10.1038/s41598-017-05848-2,True,True,True,Scientific Reports,2017,True
10.1088/1361-6560/aa9262,True,True,True,Physics in Medicine and Biology,2017,True
10.3389/fpsyg.2017.01628,True,True,True,Frontiers in Psychology,2017,True
10.1148/radiol.2015150358,True,True,False,Radiology,2016,True
10.1007/s11548-016-1483-3,True,True,True,International Journal of Computer Assisted Radiology and Surgery,2017,True
10.1038/srep23376,True,True,True,Scientific Reports,2016,True
10.3109/02656736.2015.1055831,True,True,True,International Journal of Hyperthermia,2015,True
10.1038/nn.4354,True,True,True,Nature Neuroscience,2016,True
10.1109/embc.2016.7591443,True,True,True,International Conference of the IEEE Engineering in Medicine and Biology Society,2016,True
10.1016/j.nicl.2016.09.021,True,True,True,NeuroImage: Clinical,2016,True
10.1038/srep16822,True,True,True,Scientific Reports,2015,True
10.1007/978-3-319-30858-6_1,True,True,False,Springer eBooks,2016,True
10.1007/978-3-319-55524-9_18,True,True,True,Lecture Notes in Computer Science,2016,True
10.3174/ajnr.a5391,True,True,True,American Journal of Neuroradiology,2018,True
10.1109/tmi.2015.2448556,True,True,True,IEEE Transactions on Medical Imaging,2015,True
10.1038/s41598-017-13679-4,True,True,True,Scientific Reports,2017,True
10.1038/sdata.2017.117,True,True,True,Scientific Data,2017,True
10.1148/radiol.2018181928,True,True,True,Radiology,2019,True
10.1007/s40120-019-00153-8,True,True,True,Neurology and Therapy,2019,True
10.1109/tmi.2018.2791721,True,True,True,IEEE Transactions on Medical Imaging,2018,True
10.1007/978-3-319-75238-9_31,True,True,True,Springer International Publishing eBooks,2018,True
10.1371/journal.pone.0191827,True,True,True,PLOS ONE,2018,True
10.1016/j.media.2019.03.005,True,True,True,Medical Image Analysis,2019,True
10.1155/2019/1075434,True,True,True,Journal of Healthcare Engineering,2019,True
10.1007/s00285-019-01383-y,True,True,True,Journal of Mathematical Biology,2019,True
10.1093/neuonc/noz095,True,True,True,Neuro-oncology,2019,True
10.1109/tip.2018.2884563,True,True,True,IEEE transactions on image processing,2018,True
10.3389/fneur.2018.00777,True,True,True,Frontiers in Neurology,2018,True
10.1016/j.nicl.2017.10.021,True,True,True,NeuroImage: Clinical,2017,True
10.1109/tmi.2020.2964310,True,True,True,IEEE Transactions on Medical Imaging,2020,True
10.3389/fncom.2019.00073,True,True,True,Frontiers in Computational Neuroscience,2019,True
10.1002/acm2.12795,True,True,True,Journal of Applied Clinical Medical Physics,2020,True
10.1371/journal.pone.0219724,True,True,True,PLOS ONE,2019,True
10.1146/annurev-bioeng-062117-121105,True,True,True,Annual Review of Biomedical Engineering,2020,True
10.1186/s13014-020-01553-z,True,True,True,Radiation Oncology,2020,True
10.1155/2018/5693058,True,True,True,Contrast Media & Molecular Imaging,2018,True
10.1016/j.ejmp.2018.06.012,True,True,True,Physica Medica,2018,True
10.1007/s00330-018-5595-8,True,True,True,European Radiology,2019,True
10.1117/12.2292930,True,True,True,Proceedings of SPIE,2018,True
10.1155/2019/6134942,True,True,True,Contrast Media & Molecular Imaging,2019,True
10.1155/2018/1048164,True,True,True,Journal of Healthcare Engineering,2018,True
10.1109/trpms.2018.2883437,True,True,True,IEEE transactions on radiation and plasma medical sciences,2019,True
10.1038/s41467-019-08546-x,True,True,True,Nature Communications,2019,True
10.1148/radiol.2020200819,True,True,True,Radiology,2020,True
10.3389/fnins.2020.00065,True,True,True,Frontiers in Neuroscience,2020,True
10.3389/fncom.2020.00006,True,True,True,Frontiers in Computational Neuroscience,2020,True
10.3389/fncom.2020.00009,True,True,True,Frontiers in Computational Neuroscience,2020,True
10.1155/2017/9512370,True,True,True,Contrast Media & Molecular Imaging,2017,True
10.1109/tmi.2019.2905770,True,True,True,IEEE Transactions on Medical Imaging,2019,True
10.3389/fnins.2019.00144,True,True,True,Frontiers in Neuroscience,2019,True
10.1002/mp.13695,True,True,True,Medical Physics,2019,True
10.3389/fnins.2019.00810,True,True,True,Frontiers in Neuroscience,2019,True
10.1117/1.jmi.7.1.014502,True,True,True,Journal of medical imaging,2020,True
10.3389/fnins.2019.01182,True,True,True,Frontiers in Neuroscience,2019,True
10.1016/j.neuroimage.2018.04.073,True,True,True,NeuroImage,2018,True
10.3389/fnins.2019.00966,True,True,True,Frontiers in Neuroscience,2019,True
10.1117/1.jmi.6.4.044002,True,True,True,Journal of medical imaging,2019,True
10.1007/978-3-319-75238-9_12,True,True,True,Lecture Notes in Computer Science,2018,True
10.1186/s12880-019-0369-6,True,True,True,BMC Medical Imaging,2019,True
10.3390/genes9080382,True,True,True,Genes,2018,True
10.1186/s12967-019-2119-5,True,True,False,Journal of Translational Medicine,2019,True
10.3389/fncom.2020.00017,True,True,True,Frontiers in Computational Neuroscience,2020,True
10.1371/journal.pone.0200745,True,True,True,PLOS ONE,2018,True
10.1007/s10278-018-0111-x,True,True,True,Journal of Digital Imaging,2019,True
10.1002/mp.13624,True,True,True,Medical Physics,2019,True
10.1155/2018/2512037,True,True,True,International Journal of Biomedical Imaging,2018,True
10.1155/2018/4940593,True,True,True,Journal of Healthcare Engineering,2018,True
10.1038/sdata.2019.1,True,True,True,Scientific Data,2019,True
10.1007/s11548-020-02222-y,True,True,True,International Journal of Computer Assisted Radiology and Surgery,2020,True
10.3390/e23111429,True,True,True,Entropy,2021,True
10.1038/s41597-021-01060-0,True,True,True,Scientific Data,2021,True
10.1016/j.phro.2020.06.006,True,True,True,Physics and Imaging in Radiation Oncology,2020,True
10.1109/embc44109.2020.9176596,True,True,True,International Conference of the IEEE Engineering in Medicine and Biology Society,2020,True
10.3390/s21227528,True,True,True,Sensors,2021,True
10.1155/2022/3236305,True,True,True,Computational Intelligence and Neuroscience,2022,True
10.1007/978-3-030-59861-7_35,True,True,True,Lecture Notes in Computer Science,2020,True
10.1093/noajnl/vdaa066,True,True,True,Neuro-oncology advances,2020,True
10.1109/tmi.2020.3011626,True,True,True,IEEE Transactions on Medical Imaging,2020,True
10.1038/s41598-022-09985-1,True,True,True,Scientific Reports,2022,True
10.1088/1361-6560/ac5ed8,True,True,True,Physics in Medicine and Biology,2022,False
10.1002/acm2.13557,True,True,True,Journal of Applied Clinical Medical Physics,2022,True
10.1002/acm2.13530,True,True,True,Journal of Applied Clinical Medical Physics,2022,True
10.1016/j.ejmp.2021.04.016,True,True,True,Physica Medica,2021,True
10.1007/s00234-021-02703-0,True,True,True,Neuroradiology,2021,True
10.1016/j.media.2020.101796,True,True,True,Medical Image Analysis,2020,True
10.1007/s00701-021-04802-6,True,True,True,Acta neurochirurgica,2021,True
10.3389/frobt.2018.00120,True,True,True,Frontiers in Robotics and AI,2018,True
10.1016/j.tranon.2021.101065,True,True,True,Translational Oncology,2021,True
10.1093/noajnl/vdab073,True,True,True,Neuro-oncology advances,2021,True
10.1093/neuonc/noaa177,True,True,True,Neuro-oncology,2021,True
10.1038/s41598-022-10285-x,True,True,True,Scientific Reports,2022,True
10.1007/s10921-020-00740-y,True,True,True,Journal of Nondestructive Evaluation,2021,True
10.1007/s12065-020-00540-3,True,True,True,Evolutionary Intelligence,2022,True
10.3389/fonc.2022.856346,True,True,True,Frontiers in Oncology,2022,True
10.3174/ajnr.a7071,True,True,True,American Journal of Neuroradiology,2021,True
10.1038/s41598-020-74419-9,True,True,True,Scientific Reports,2020,True
10.3389/fnins.2021.782968,True,True,True,Frontiers in Neuroscience,2021,True
10.21037/qims-21-15,True,True,False,Quantitative imaging in medicine and surgery,2022,True
10.1038/s41598-020-69920-0,True,True,True,Scientific Reports,2020,True
10.3389/fonc.2020.01640,True,True,True,Frontiers in Oncology,2020,True
10.1117/1.jmi.7.5.055501,True,True,True,Journal of medical imaging,2020,True
10.3389/fnins.2021.740353,True,True,True,Frontiers in Neuroscience,2021,True
10.3390/cancers13122854,True,True,True,Cancers,2021,True
10.3390/diagnostics11071159,True,True,True,Diagnostics,2021,True
10.3390/jimaging7120269,True,True,True,Journal of Imaging,2021,True
10.1148/ryai.210095,True,True,True,Radiology,2022,True
10.3389/fonc.2022.823812,True,True,True,Frontiers in Oncology,2022,True
10.1109/jbhi.2022.3149754,True,True,False,IEEE Journal of Biomedical and Health Informatics,2022,True
10.1186/s12911-021-01687-4,True,True,True,BMC Medical Informatics and Decision Making,2021,True
10.3390/cancers13061415,True,True,True,Cancers,2021,True
10.3390/jpm10030128,True,True,True,Journal of Personalized Medicine,2020,True
10.1007/s00701-020-04483-7,True,True,True,Acta neurochirurgica,2020,True
10.1186/s12911-021-01392-2,True,True,True,BMC Medical Informatics and Decision Making,2021,True
10.1038/s41598-021-87887-4,True,True,True,Scientific Reports,2021,True
10.1098/rsif.2021.0922,True,True,False,Journal of the Royal Society Interface,2022,True
10.1016/j.media.2021.102265,True,True,True,Medical Image Analysis,2022,True
10.3390/cancers14061475,True,True,True,Cancers,2022,True
10.3390/cancers14061481,True,True,True,Cancers,2022,True
10.1007/978-3-319-67558-9_28,True,True,False,Springer eBooks,2017,True
10.1155/2020/8620403,True,True,True,Computational and Mathematical Methods in Medicine,2020,True
10.1016/j.media.2021.102309,True,True,True,Medical Image Analysis,2022,True
10.1186/s12880-020-00485-0,True,True,True,BMC Medical Imaging,2020,True
10.1186/s13014-020-01618-z,True,True,True,Radiation Oncology,2020,True
10.1002/cnr2.1226,True,True,True,Cancer reports,2019,True
10.1007/s41870-021-00850-4,True,True,True,International journal of information technology,2022,True
10.1007/978-3-030-59728-3_71,True,True,True,Lecture Notes in Computer Science,2020,True
10.1371/journal.pone.0173112,True,True,True,PLOS ONE,2017,True
10.18383/j.tom.2016.00265,True,True,False,Tomography,2016,True
10.3389/fncom.2019.00058,True,True,True,Frontiers in Computational Neuroscience,2019,True
10.1016/j.media.2018.08.004,True,True,True,Medical Image Analysis,2018,True
10.1148/radiol.2019190613,True,True,True,Radiology,2019,True
10.1049/htl.2017.0013,True,True,True,Healthcare technology letters,2018,True
10.1117/1.jmi.5.1.015006,True,True,True,Journal of medical imaging,2018,True
10.1002/mrm.27500,True,True,True,Magnetic Resonance in Medicine,2019,True
10.3389/fnins.2020.00125,True,True,True,Frontiers in Neuroscience,2020,True
10.3389/fnins.2020.00350,True,True,True,Frontiers in Neuroscience,2020,True
10.1148/ryai.2020190011,True,True,True,Radiology,2020,True
10.3390/cancers11060829,True,True,True,Cancers,2019,True
10.1186/s12880-019-0348-y,True,True,True,BMC Medical Imaging,2019,True
10.1038/s41597-020-0526-3,True,True,True,Scientific Data,2020,True
10.3969/j.issn.1673-4254.2018.06.04,True,False,False,,2018,True
10.1109/isbi.2017.7950456,True,True,True,International Symposium on Biomedical Imaging,2017,True
10.1148/radiol.2020192224,True,True,True,Radiology,2020,True
10.1371/journal.pone.0187209,True,True,True,PLOS ONE,2017,True
10.1148/radiol.2020191621,True,True,True,Radiology,2020,True
10.1117/1.jmi.7.3.031505,True,True,False,Journal of medical imaging,2020,True
10.1093/neuonc/noz162,True,True,True,Neuro-oncology,2019,True
10.1038/s41598-017-14753-7,True,True,True,Scientific Reports,2017,True
10.18383/j.tom.2018.00016,True,True,False,Tomography,2018,True
10.1016/j.neuroimage.2018.08.003,True,True,True,NeuroImage,2018,True
10.1002/jmri.27129,True,True,True,Journal of Magnetic Resonance Imaging,2020,True
10.1093/neuonc/noz184,True,True,True,Neuro-oncology,2020,True
10.3389/fnins.2019.00333,True,True,True,Frontiers in Neuroscience,2019,True
10.3174/ajnr.a5543,True,True,True,American Journal of Neuroradiology,2018,True
10.1155/2019/9414937,True,True,True,Journal of Healthcare Engineering,2019,True
10.1016/j.nicl.2019.101727,True,True,True,NeuroImage: Clinical,2019,True
10.1155/2019/1758948,True,True,True,International Journal of Biomedical Imaging,2019,True
10.7717/peerj.5982,True,True,True,PeerJ,2018,True
10.1002/jmri.26907,True,True,True,Journal of Magnetic Resonance Imaging,2020,True
10.3389/fncom.2019.00056,True,True,True,Frontiers in Computational Neuroscience,2019,True
10.3389/fnins.2020.00027,True,True,True,Frontiers in Neuroscience,2020,True
10.1007/s12021-018-9385-x,True,True,True,Neuroinformatics,2019,True
10.1117/1.jmi.4.4.041311,True,True,True,Journal of medical imaging,2017,True
10.1109/isbi.2018.8363864,True,True,True,International Symposium on Biomedical Imaging,2018,True
10.3389/fnins.2019.01449,True,True,True,Frontiers in Neuroscience,2020,True
10.3389/fncom.2020.00003,True,True,True,Frontiers in Computational Neuroscience,2020,True
10.18383/j.tom.2019.00026,True,False,False,Tomography,2020,True
10.1007/978-3-319-46630-9_10,True,True,False,Lecture Notes in Computer Science,2016,True
10.1016/j.mri.2018.11.014,False,True,True,Magnetic Resonance Imaging,2019,True
10.1038/s41598-017-18453-0,True,True,True,Scientific Reports,2018,True
10.1117/1.jmi.6.2.024501,True,True,True,Journal of medical imaging,2019,True
10.18383/j.tom.2019.00010,True,True,False,Tomography,2019,True
10.1016/j.nicl.2020.102185,True,True,True,NeuroImage: Clinical,2020,True
10.1109/tmi.2019.2959609,True,True,False,IEEE Transactions on Medical Imaging,2020,True
10.1038/s41598-020-63242-x,True,True,True,Scientific Reports,2020,True
10.1002/mp.14168,True,True,True,Medical Physics,2020,True
10.1007/s10278-018-0117-4,True,True,False,Journal of Digital Imaging,2019,True
10.1016/j.mri.2019.04.012,True,True,True,Magnetic Resonance Imaging,2019,True
10.1038/s41598-019-49740-7,True,True,True,Scientific Reports,2019,True
10.1109/tip.2019.2919937,True,True,True,IEEE transactions on image processing,2019,True
10.1038/sdata.2018.251,True,True,True,Scientific Data,2018,True
10.3389/fnins.2020.00282,True,True,True,Frontiers in Neuroscience,2020,True
10.3389/fncom.2020.00025,True,True,True,Frontiers in Computational Neuroscience,2020,True
10.3389/fneur.2021.609646,True,True,True,Frontiers in Neurology,2021,True
10.3174/ajnr.a6875,True,True,True,American Journal of Neuroradiology,2021,True
10.1109/jbhi.2020.2991043,True,True,True,IEEE Journal of Biomedical and Health Informatics,2020,True
10.1002/ana.26303,True,True,True,Annals of Neurology,2022,True
10.1117/1.jmi.9.1.014001,True,True,False,Journal of medical imaging,2022,True
10.1117/1.jmi.8.2.024002,True,True,False,Journal of medical imaging,2021,True
10.1093/neuonc/noab238,True,True,True,Neuro-oncology,2022,True
10.1186/s12880-021-00728-8,True,True,True,BMC Medical Imaging,2022,True
10.1007/978-3-030-46640-4_6,True,True,True,Springer eBooks,2019,True
10.1007/s12021-020-09477-5,True,True,True,Neuroinformatics,2021,True
10.1148/radiol.2021203786,True,True,True,Radiology,2021,True
10.3389/fonc.2022.796583,True,True,True,Frontiers in Oncology,2022,True
10.1016/j.compmedimag.2021.102026,True,True,True,Computerized Medical Imaging and Graphics,2022,True
10.21037/qims-20-595,True,True,False,Quantitative imaging in medicine and surgery,2021,True
10.1007/978-3-030-78191-0_25,True,True,True,Lecture Notes in Computer Science,2021,False
10.3390/s22062084,True,True,True,Sensors,2022,True
10.3390/s22062406,True,True,True,Sensors,2022,True
10.1038/s41598-021-82716-0,True,True,True,Scientific Reports,2021,True
10.3390/jimaging8030055,True,True,True,Journal of Imaging,2022,True
10.1109/tmi.2020.3046444,True,True,True,IEEE Transactions on Medical Imaging,2021,True
10.1007/978-3-030-87196-3_51,True,True,True,Lecture Notes in Computer Science,2021,True
10.3390/cancers14102530,True,True,True,Cancers,2022,True
10.3390/jpm11121336,True,True,True,Journal of Personalized Medicine,2021,True
10.3389/fonc.2021.661123,True,True,True,Frontiers in Oncology,2021,True
10.2196/19805,True,True,True,JMIR medical informatics,2020,True
10.3389/fonc.2021.734433,True,True,True,Frontiers in Oncology,2021,True
10.1155/2021/9025470,True,True,True,Computational and Mathematical Methods in Medicine,2021,True
10.1186/s12911-021-01431-y,True,True,True,BMC Medical Informatics and Decision Making,2021,True
10.1109/iccv.2019.00028,True,True,False,International Conference on Computer Vision,2019,True
10.1016/j.media.2020.101840,True,True,True,Medical Image Analysis,2021,True
10.3390/app11167488,True,True,True,Applied sciences,2021,True
10.1007/s40336-022-00487-8,True,True,True,Clinical and Translational Imaging,2022,True
10.1016/j.bspc.2019.101648,True,True,True,Biomedical Signal Processing and Control,2020,True
10.3389/fonc.2021.788819,True,True,True,Frontiers in Oncology,2021,True
10.1038/s41598-021-90428-8,True,True,True,Scientific Reports,2021,True
10.1038/s41598-021-90555-2,True,True,True,Scientific Reports,2021,True
10.3390/e23030279,True,True,False,Entropy,2021,True
10.1148/ryai.2021210031,True,True,True,Radiology,2021,True
10.1002/mp.14539,True,True,True,Medical Physics,2020,True
10.1002/nbm.4408,True,True,True,NMR in Biomedicine,2021,True
10.1007/s10278-021-00574-8,True,True,True,Journal of Digital Imaging,2022,True
10.3390/diagnostics12020247,True,True,True,Diagnostics,2022,True
10.3390/diagnostics12020345,True,True,True,Diagnostics,2022,True
10.1038/s41598-020-75015-7,True,True,True,Scientific Reports,2020,True
10.3389/fnins.2021.634557,True,True,True,Frontiers in Neuroscience,2021,True
10.1007/s10278-021-00486-7,True,True,True,Journal of Digital Imaging,2021,True
10.3390/cancers13235921,True,True,True,Cancers,2021,True
10.3390/cancers13236113,True,True,True,Cancers,2021,True
10.3390/jcm10092030,True,True,True,Journal of Clinical Medicine,2021,True
10.1155/2022/8000781,True,True,True,Computational and Mathematical Methods in Medicine,2022,True
10.1136/bmjopen-2020-043665,True,True,True,BMJ Open,2021,True
10.1117/1.jmi.7.6.064006,True,False,False,Journal of medical imaging,2020,True
10.1155/2021/4273963,True,True,True,Computational Intelligence and Neuroscience,2021,True
10.3390/cancers13030424,True,True,True,Cancers,2021,True
10.3390/cancers13184674,True,True,True,Cancers,2021,True
