title,doi,publication_year,abstract,task
Brain tumor segmentation of MRI images: A comprehensive review on the application of artificial intelligence tools,https://doi.org/10.1016/j.compbiomed.2022.106405,2023,"brain cancer is a destructive and lifethreatening disease that imposes immense negative effects on patients lives therefore the detection of brain tumors at an early stage improves the impact of treatments and increases the patients survival rates however detecting brain tumors in their initial stages is a demanding task and an unmet needthe present study presents a comprehensive review of the recent artificial intelligence ai methods of diagnosing brain tumors using mri images these ai techniques can be divided into supervised unsupervised and deep learning dl methodsdiagnosing and segmenting brain tumors usually begin with magnetic resonance imaging mri on the brain since mri is a noninvasive imaging technique another existing challenge is that the growth of technology is faster than the rate of increase in the number of medical staff who can employ these technologies it has resulted in an increased risk of diagnostic misinterpretation therefore developing robust automated brain tumor detection techniques has been studied widely over the past yearsthe current review provides an analysis of the performance of modern methods in this area moreover various image segmentation methods in addition to the recent efforts of researchers are summarized finally the paper discusses open questions and suggests directions for future research",Brain
Multi-input Unet model based on the integrated block and the aggregation connection for MRI brain tumor segmentation,https://doi.org/10.1016/j.bspc.2022.104027,2023,"with the growth of data information and the development of computer equipment it is extremely timeconsuming and laborious to rely on the traditional manual segmentation of brain medical images to solve the above problems this paper proposes a multiinput unet model based on the integrated block and the aggregation connection to achieve efficient and accurate segmentation of tumor structure besides this paper solves the lowresolution problem in sagittal and coronal planes which can effectively improve memory efficiency the proposed algorithm is innovative in three aspects firstly by inputting the mask images which can effectively represent the tumor location characteristics it can provide more information about the spatial relationship to alleviate the problems of fuzzy boundary and low contrast between the lesion region and healthy brain tissue then the integrated block extracts the tumor local information in different receptive domains by a multiscale convolution kernel the aggregation connection realizes the implicit deep connection of context information which combines the shallow and deep information of the brain with strong geometric spatial relationships meanwhile to effectively alleviate the waste of memory resources caused by redundant and background information in medical images the amount of calculation in model training is reduced by dimension reduction of the feature map an ablation experiment is used to verify the innovation of the proposed algorithm on the brats dataset which compares with the stateoftheart brain tumor segmentation methods the precision of the proposed multiinput unet model for the whole tumor and core lesion is 092 and 090 respectively",Brain
Multi-input Unet model based on the integrated block and the aggregation connection for MRI brain tumor segmentation,https://doi.org/10.1016/j.bspc.2022.104027,2023,"with the growth of data information and the development of computer equipment it is extremely timeconsuming and laborious to rely on the traditional manual segmentation of brain medical images to solve the above problems this paper proposes a multiinput unet model based on the integrated block and the aggregation connection to achieve efficient and accurate segmentation of tumor structure besides this paper solves the lowresolution problem in sagittal and coronal planes which can effectively improve memory efficiency the proposed algorithm is innovative in three aspects firstly by inputting the mask images which can effectively represent the tumor location characteristics it can provide more information about the spatial relationship to alleviate the problems of fuzzy boundary and low contrast between the lesion region and healthy brain tissue then the integrated block extracts the tumor local information in different receptive domains by a multiscale convolution kernel the aggregation connection realizes the implicit deep connection of context information which combines the shallow and deep information of the brain with strong geometric spatial relationships meanwhile to effectively alleviate the waste of memory resources caused by redundant and background information in medical images the amount of calculation in model training is reduced by dimension reduction of the feature map an ablation experiment is used to verify the innovation of the proposed algorithm on the brats dataset which compares with the stateoftheart brain tumor segmentation methods the precision of the proposed multiinput unet model for the whole tumor and core lesion is 092 and 090 respectively",Brain
Multi-target segmentation of pancreas and pancreatic tumor based on fusion of attention mechanism,https://doi.org/10.1016/j.bspc.2022.104170,2023,"multiobjective segmentation algorithms for pancreatic and pancreatic tumors are relatively scarce the existing pancreas segmentation algorithms are weak in small target feature extraction the existing pancreas segmentation algorithms require too much computation and high equipment requirements therefore clinical application is more difficult we design a novel loss function wml which effectively enhances the networks attention to target samples and the ability to capture edge detail pixels of pancreas and pancreatic tumor so that the weights of the convolution kernel change in the direction favorable to pancreatic and pancreatic tumor feature learning we propose a novel attention module mdag for exploring multidimensional hybrid features of pancreas and pancreatic tumour mdag is able to efficiently learn contextual information within the ushaped network accomplish small target feature localisation in multiple dimensions of space and channels and filter redundant information in shallow feature maps thus enhancing the feature representation of pancreas and pancreatic tumour our proposed mdag performs well on both the task07pancreas dataset as well as the nihpancreas dataset and the mdag is able to achieve higher segmentation performance with a smaller number of parameters existing neural network segmentation schemes perform well in the task of segmenting images of organs with large areas and clear morphology such as the liver and lungs however it is difficult to segment organs with variable morphology and small target area such as pancreas and tumors in order to achieve accurate segmentation of pancreas and its cysts mdagnet multidimensional attention gate network is proposed in this paper combining three attention mechanisms spatial channel and multidimensional feature map input mdagmultidimensional attention gate obtains the global distribution of semantic information in spatial and channel dimensions filters redundant information in shallow feature maps realizes feature response and recalibrates convolution kernel parameters in addition the wmlweighted cross entropy and miou loss function loss can adaptively assign the weight of category loss and count the classification error of global pixels which can increase the error attention of the target area and improving the segmentation accuracy of the network the algorithm is experimented on the task07pancreas dataset compared with unet under the same conditions the dice coefficient precision recall rate and miou mean intersection over union of mdagnet are improved by 53 15 127 and 76 respectively the results show that mdagnet can accurately segment the region of pancreas and its cyst in ctcomputed tomography images which proves that mdag has better segmentation efficiency for such small target regions",Lung
Multi-target segmentation of pancreas and pancreatic tumor based on fusion of attention mechanism,https://doi.org/10.1016/j.bspc.2022.104170,2023,"multiobjective segmentation algorithms for pancreatic and pancreatic tumors are relatively scarce the existing pancreas segmentation algorithms are weak in small target feature extraction the existing pancreas segmentation algorithms require too much computation and high equipment requirements therefore clinical application is more difficult we design a novel loss function wml which effectively enhances the networks attention to target samples and the ability to capture edge detail pixels of pancreas and pancreatic tumor so that the weights of the convolution kernel change in the direction favorable to pancreatic and pancreatic tumor feature learning we propose a novel attention module mdag for exploring multidimensional hybrid features of pancreas and pancreatic tumour mdag is able to efficiently learn contextual information within the ushaped network accomplish small target feature localisation in multiple dimensions of space and channels and filter redundant information in shallow feature maps thus enhancing the feature representation of pancreas and pancreatic tumour our proposed mdag performs well on both the task07pancreas dataset as well as the nihpancreas dataset and the mdag is able to achieve higher segmentation performance with a smaller number of parameters existing neural network segmentation schemes perform well in the task of segmenting images of organs with large areas and clear morphology such as the liver and lungs however it is difficult to segment organs with variable morphology and small target area such as pancreas and tumors in order to achieve accurate segmentation of pancreas and its cysts mdagnet multidimensional attention gate network is proposed in this paper combining three attention mechanisms spatial channel and multidimensional feature map input mdagmultidimensional attention gate obtains the global distribution of semantic information in spatial and channel dimensions filters redundant information in shallow feature maps realizes feature response and recalibrates convolution kernel parameters in addition the wmlweighted cross entropy and miou loss function loss can adaptively assign the weight of category loss and count the classification error of global pixels which can increase the error attention of the target area and improving the segmentation accuracy of the network the algorithm is experimented on the task07pancreas dataset compared with unet under the same conditions the dice coefficient precision recall rate and miou mean intersection over union of mdagnet are improved by 53 15 127 and 76 respectively the results show that mdagnet can accurately segment the region of pancreas and its cyst in ctcomputed tomography images which proves that mdag has better segmentation efficiency for such small target regions",Lung
Brain MRI high resolution image creation and segmentation with the new GAN method,https://doi.org/10.1016/j.bspc.2022.104246,2023,"it provides a better way to analyze images by increasing the image resolution a new and highaccuracy method has been proposed by making the unsupervised ones of the stateofart methods controlled while segmenting the image effective results in brainmri segmentation brain magnetic resonance imaging segmentation is a recent and still popular research area good and accurate segmentation results play an important role in the diagnosis of cancer or other brain diseases in this article a novel generative adversarial network architecture is proposed for brain magnetic resonance imaging segmentation the proposed method is called ssimdcl supervised simdcl four studies were conducted in this article in the first study the ssimdcl method on the twodimensional brain magnetic resonance imaging dataset was compared with the current stateofart architectures cyclegan cut fastcut dclgan and simdcl in the second study the dataset resolution was improved in the third study being measured the efficiency of the newly created dataset and the ssimdcl is trained for both the dataset with increased resolution and the normal dataset and the results are obtained in the fourth study the results of the ssimdcl and the volbrain brain magnetic resonance imaging segmentation results which are widely used today are included when volbrain segmentation and ssimdcl segmentation are compared the results were compared both visually and metrically fréchet inception distance fid kernel inception distance kid peak signal to noise ratio psnr and learned perceptual image patch similarity lpips were used as measurement metrics the jaccard and dice similarity metrics were also used in the analysis it was observed that the ssimdcl give satisfactory results in all four studies this method can be used as an automatic brain mri image segmentation system",Brain
Joint few-shot registration and segmentation self-training of 3D medical images,https://doi.org/10.1016/j.bspc.2022.104294,2023,"joint registration and segmentation selftraining framework for fewshot scenario weakly supervised registration and semisupervised segmentation complement each other qualityassessed and screened pseudolabels ensure a benign dualtask selftraining outperforms fully supervised singletask models on 3d medical images medical image segmentation and registration are very important related steps in clinical medical diagnosis in the past few years deep learning techniques for joint segmentation and registration have achieved good results in both segmentation and registration tasks through oneway assisted learning or mutual utilization however they often rely on large labeled datasets for supervised training or directly use pseudolabels without quality estimation we propose a joint registration and segmentation selftraining framework jrss which aims to use segmentation pseudolabels to promote shared learning between segmentation and registration in scenarios with few manually labeled samples while improving the performance of dual tasks jrss combines weakly supervised registration and semisupervised segmentation learning in a selftraining framework segmentation selftraining generates highquality pseudolabels for unlabeled data by injecting noise pseudolabels screening and uncertainty correction registration utilizes pseudolabels to facilitate weakly supervised learning and as input noise as well as data augmentation to facilitate segmentation selftraining experiments on two public 3d medical image datasets abdominal ct and brain mri demonstrate that our proposed method achieves simultaneous improvements in segmentation and registration accuracy under fewshot scenarios outperforms the singletask fullysupervised training stateoftheart model in the metrics of dice similarity coefficient and standard deviation of the jacobian determinant",Brain
Multi-level threshold segmentation framework for breast cancer images using enhanced differential evolution,https://doi.org/10.1016/j.bspc.2022.104373,2023,"an improved multistrategy based differential evolution algorithm is proposed the proposed method improves solution quality and accelerates convergence the proposed method is embedded in an image segmentation framework the proposed framework can effectively segment breast cancer images breast cancer has replaced lung cancer as the most prevalent malignancy threatening human health early breast screening can help improve treatment success and reduce the risk of death the analysis and diagnosis of breast cancer real images by computeraided technology is the key link to early diagnosis highquality medical segmentation images can improve the accuracy of lesion area detection this study used a multilevel threshold image segmentation framework based on novel differential evolution twodimensional kapurs entropy and the twodimensional histogram to improve the efficiency of subsequent image analysis and diagnosis we proposed an enhanced differential evolution in the framework based on the roundup search the elite lévymutation and the decentralized foraging strategy to explore the optimal thresholds in this study the enhanced differential evolution was compared to stateoftheart methods for benchmark function experiments and breast cancer image segmentation experiments it is shown that the proposed threshold search method accelerates convergence and reduces the problem of premature convergence quantitative results demonstrate that the proposed method can achieve an average peak signaltonoise ratio and feature similarity index of 21231 and 0951 respectively at the 5level threshold which is better than other methods as a result the proposed multilevel threshold image segmentation model can provide quality samples for subsequent image analysis and classification",Lung
A multi-scale interactive U-Net for pulmonary vessel segmentation method based on transfer learning,https://doi.org/10.1016/j.bspc.2022.104407,2023,"pulmonary vessel segmentation is the key application of ai in lung disease diagnosis and surgical planning compared with manual labeling automatic labeling of pulmonary vessels using an aibased medical image segmentation method has the advantages of low cost high accuracy and efficiency which is the development trend of medical images in terms of pulmonary vessel segmentation fcn and unet are the most widely used pulmonary vessel segmentation methods based on deep learning however the precision of pulmonary vessel segmentation especially the small vessels tends to be poor by such methods therefore to solve the above problem multiscale interactive unet msiunet is proposed in msiunet three decoder branches are used to extract smallscale middlescale and largescale vessels respectively which can improve the accuracy of small vessel segmentation by enhancing the representational ability of small vessels in addition to solve the problem of small vessel information loss caused by downsampling we introduce the attention mechanism into the skiplayer connection and propose a crosslayer aggregation module cla among the three decoder branches a multiscale information interaction strategy msiis is proposed based on transfer learning which can effectively enhance the correlation of multiscale vessels in lung ct images in the training stage we propose a scaleinduced supervision strategy siss this strategy uses the idea of fusion first and then supervision which effectively solves the problem of inconsistency in multiscale vessels classification thereby reducing the segmentation errors finally we use feature transmission instead of convolution parameter sharing to realize the multiscale information interaction strategy and propose an extension scheme called multilevel cascade interactive unet mlciunet the experimental results indicate that our msiunet and mlciunet have better performance than other stateoftheart methods on pulmonary vessel segmentation specifically the best dice similarity coefficient dsc sensitivity and precision are obtained by the proposed methods to segment pulmonary vessels we propose msiunet for pulmonary vessel segmentation we construct a novel skiplayer connection module to enhance the encoder features we design a information interaction strategy to enhance the information interaction between the threescale vessels to reduce the errors of segmentation we propose a scaleinduced supervision strategy choose the resunet as the baseline model of pulmonary vessel segmentation",Lung
SSO-RBNN driven brain tumor classification with Saliency-K-means segmentation technique,https://doi.org/10.1016/j.bspc.2022.104356,2023,"earlystage diagnosis of brain tumor leads to better chance of cure from this deadliest disease across the globe existing schemes on brain tumor classification use machine learning convolutional neural networks generative adversarial networks and deep learning schemes however more execution time and uncertain predictions leading additional process to crosscheck the obtained results in this paper a classification model saliencykmeanssorbnn is formulated including a new hybrid saliencekmean segmentation technique along with utilizing the advantage of social spider optimization sso algorithm in radial basis neural network rbnn hybrid saliency map with kmeans clusterbased segmentation approach is formulated to segment the tumor region as saliency map spotlights on eye catching region within target image segmented image is fetched to feature extraction phase by considering multiresolution wavelet transform principal component kurtosis skewness inverse difference moment idm cosine transform feature vector is then processed for an efficient classification using rbnn by optimizing the cluster center through sso rbnn with gaussian kernel depicts a low complex model for classification saliencykmeanssorbnn and new hybrid saliencykmean segmentation are validated on standard datasets and compared with existing schemes with regard to specificity precision sensitivity f1 score mcc kappa coefficient and complexity saliencykmeanssorbnn yielding a classification accuracy in three datasets as 96 92 and 94",Brain
A comparison of diffusion tensor imaging tractography and constrained spherical deconvolution with automatic segmentation in traumatic brain injury,https://doi.org/10.1016/j.nicl.2022.103284,2023,"detection of microstructural white matter injury in traumatic brain injury tbi requires specialised imaging methods of which diffusion tensor imaging dti has been extensively studied newer fibre alignment estimation methods such as constrained spherical deconvolution csd are better than dti in resolving crossing fibres that are ubiquitous in the brain and may improve the ability to detect microstructural injuries furthermore automatic tract segmentation has the potential to improve tractography reliability and accelerate workflow compared to the manual segmentation commonly used in this study we compared the results of deterministic dti based tractography and manual tract segmentation with csd based probabilistic tractography and automatic tract segmentation using tractseg 37 participants with a history of tbi with glasgow coma scale 1315 and persistent symptoms and 41 healthy controls underwent deterministic dtibased tractography with manual tract segmentation and probabilistic csdbased tractography with tractseg automatic segmentationfractional anisotropy fa and mean diffusivity of corpus callosum and three bilateral association tracts were measured fa and md values derived from both tractography methods were generally moderately to strongly correlated csd with tractseg differentiated the groups based on fa while dti did not csd and tractsegbased tractography may be more sensitive in detecting microstructural changes associated with tbi than deterministic dti tractography additionally csd with tractseg was found to be applicable at lower bvalue and number of diffusionencoding gradients data than previously reported",Brain
A modified reptile search algorithm for global optimization and image segmentation: Case study brain MRI images,https://doi.org/10.1016/j.compbiomed.2022.106404,2023,"in this paper we proposed an enhanced reptile search algorithm rsa for global optimization and selected optimal thresholding values for multilevel image segmentation rsa is a recent metaheuristic optimization algorithm depending on the hunting behavior of crocodiles rsa is inclined to inadequate diversity local optima and unbalanced exploitation abilities as other metaheuristic algorithms the runge kutta optimizer run is a novel metaheuristic algorithm that has demonstrated effectiveness in solving realworld optimization problems the enhanced solution quality esq in run utilizes the thusfar best solution to promote the quality of solutions improve the convergence speed and effectively balance the exploration and exploitation steps also the scale factor sf has a randomized adaptation nature which helps run in further improving the exploration and exploitation steps this parameter ensures a smooth transition from exploration to exploitation in order to mitigate the drawbacks of the rsa algorithm this paper proposed a modified rsa mrsa which combines the rsa algorithm with the run the esq mechanism and the scale factor boost the original rsas performance enhance convergence speed bypass local optimum and enhance the balance between exploitation and exploration the validity of mrsa was verified using two experimental sequences first we applied mrsa to cec2020 benchmark functions of various types and dimensions showing that mrsa has more robust search capabilities than the original rsa and popular counterpart algorithms concerning statistical convergence and diversity measurements the second experiment evaluated mrsa for a realworld application to solve magnetic resonance imaging mri brain image segmentation overall experimental results confirm that the mrsa has a strong optimization ability also mrsa method is a more successful multilevel thresholding segmentation and outperforms comparison methods according to different performance measures",Brain
