title,doi,abstract,task
GAPLE: Generalizable Approaching Policy LEarning for Robotic Object  Searching in Indoor Environment,https://doi.org/10.48550/arxiv.1809.08287,"we study the problem of learning a generalizable action policy for an intelligent agent to actively approach an object of interest in an indoor environment solely from its visual inputs while scenedriven or recognitiondriven visual navigation has been widely studied prior efforts suffer severely from the limited generalization capability in this paper we first argue the object searching task is environment dependent while the approaching ability is general to learn a generalizable approaching policy we present a novel solution dubbed as gaple which adopts two channels of visual features depth and semantic segmentation as the inputs to the policy learning module the empirical studies conducted on the house3d dataset as well as on a physical platform in a real world scenario validate our hypothesis and we further provide indepth qualitative analysis",Other
An Efficient Deep Representation Based Framework for Large-Scale Terrain Classification,https://doi.org/10.1109/icpr.2018.8545021,"in this paper we present a novel terrain classification framework for largescale remote sensing images a wellperforming multiscale superpixel tessellation based segmentation approach is employed to generate homogeneous and irregularly shaped regions and a transfer learning technique is sequentially deployed to derive representative deep features by utilizing successful pretrained convolutional neural network cnn models this design is aimed to overcome the big problem of lacking available groundtruth data and to increase the generalization power of the multipixel descriptor in the subsequent classification step we train a fast and robust support vector machine svm to assign the pixellevel labels its maximummargin property can be easily combined with a graph laplacian propagation approach moreover we analyze the advantages of applying a feature selection technique to the deep cnn features which are extracted by transfer learning in the experiments we evaluate the whole framework based on different geographical types compared with other regionbased classification methods the results show that our framework can obtain stateoftheart performance wrt both classification accuracy and computational efficiency",Other
Multi-column Point-CNN for Sketch Segmentation,https://doi.org/10.48550/arxiv.1812.11029,"traditional sketch segmentation methods mainly rely on handcrafted features and complicate models and their performance is far from satisfactory due to the abstract representation of sketches recent success of deep neural networks dnns in related tasks suggests dnns could be a practical solution for this problem yet the suitable datasets for learning and evaluating dnns are limited to this end we introduce sketchseg a large dataset consisting of 10000 pixelwisely labeled sketchesbesides due to the lack of colors and textures in sketches conventional dnns learned on natural images are not optimal for tackling our problemtherefore we further propose the multicolumn pointcnn mcpnet which 1 directly takes sampled points as its input to reduce computational costs and 2 adopts multiple columns with different filter sizes to better capture the structures of sketches extensive experiments validate that the mcpnet is superior to conventional dnns like fcn the sketchseg dataset is publicly available on httpsdrivegooglecomopenid1opcbvkinhxvfahuvsspdeppb8ixfc3c",Other
Point Cloud Semantic Segmentation Algorithm Based on Multi-information Markov Random Field,https://doi.org/10.1109/ssci.2018.8628817,"there is a strong spatial relationship between point clouds obtained from the same object nevertheless it usually takes a great quantity of time to directly establish the relationship model between individual point clouds in this paper we draw on this idea and propose a new semantic segmentation method based on 3d mesh model which is applied to do the semantic segmentation of point cloud data in traffic scene firstly the markov random field is used to model according to the attribute information of the triangular patches of the 3d mesh model and the spatial dependence between the bins secondly the attribute information of the triangle patch is represented by the intensity information of the point cloud data included in each triangle patch and it is clustered by gaussian mixture model which describes the matching degree of each attribute with each class the algorithm combines topology information of grid model and intensity information of point cloud data eliminates the over segmentation effectively and makes the boundary of the partition smooth finally isdf improved shape and diameter function is proposed to determine the final class of two side triangular patches on the boundary the proposed method is evaluated on two public point cloud datasets and shows the competitive performance",Other
A systematic literature review of machine learning application in COVID-19 medical image classification,https://doi.org/10.1016/j.procs.2022.12.192,"detecting covid19 as early as possible and quickly is one way to stop the spread of covid19 machine learning development can help to diagnose covid19 more quickly and accurately this report aims to find out how far research has progressed and what lessons can be learned for future research in this sector by filtering titles abstracts and content in the google scholar database this literature review was able to find 19 related papers to answer two research questions ie what medical images are commonly used for covid19 classification and what are the methods for covid19 classification according to the findings chest xray were the most commonly used data to categorize covid19 and transfer learning techniques were the method used in this study researchers also concluded that lung segmentation and use of multimodal data could improve performance",Other
Diagnosis of some apple fruit diseases by using image processing and artificial neural network,https://doi.org/10.1016/j.foodcont.2022.109484,"farmers typically lack the knowledge of diagnosis and control of different apple diseases however some apple diseases have visual symptoms and can be diagnosed by eyes but their diagnosis by eyes is timeconsuming and costly for farmers a solution is to design an automatic disease diagnosis system using image processing techniques this paper presents a lowcost method of apple disease diagnosis using a neural network and fruit classification into four classes of scab bitter rot black rot and healthy fruits this method uses color and texture features the research used a multilayer perceptron neural network whose input was the features extracted from the images and its output was the defined classes after the network was trained by 60 of the images and the remaining images were reserved for its testing the accuracy of the proposed method was assessed with different structures of singlelayer and twolayer neural network structures based on the results the application of a twolayer structure with eight neurons in the first layer and eight neurons in the second layer resulted in an optimal accuracy of 737 developing a novel automatically method for diagnosing apple fruit diseases using image processing and artificial neural network for diagnosing apple fruit diseases providing a new dataset of apple images in field of diagnosing fruit diseases",Other
Deep learning models-based CT-scan image classification for automated screening of COVID-19,https://doi.org/10.1016/j.bspc.2022.104268,"covid19 is the most transmissible disease caused by the sarscov2 virus that severely infects the lungs and the upper respiratory tract of the human body this virus badly affected the lives and wellness of millions of people worldwide and spread widely early diagnosis timely treatment and proper confinement of the infected patients are some possible ways to control the spreading of coronavirus computed tomography ct scanning has proven useful in diagnosing several respiratory lung problems including covid19 infections automated detection of covid19 using chest ctscan images may reduce the clinicians load and save the lives of thousands of people this study proposes a robust framework for the automated screening of covid19 using chest ctscan images and deep learningbased techniques in this work a publically accessible ctscan image dataset contains the 1252 covid19 and 1230 noncovid chest ct images two pretrained deep learning models dlms namely mobilenetv2 and darknet19 and a newlydesigned lightweight dlm are utilized for the automated screening of covid19 a repeated tenfold holdout validation method is utilized for the training validation and testing of dlms the highest classification accuracy of 9891 is achieved using transferlearned darknet19 the proposed framework is ready to be tested with more ct images the simulation results with the publicly available covid19 ct scan image dataset are included to show the effectiveness of the presented study",Other
Deep learning for image inpainting: A survey,https://doi.org/10.1016/j.patcog.2022.109046,"we summarize existing deep learningbased image inpainting algorithms in three aspects including inpainting strategies network structures and loss functions we introduce the open source codes popular used datasets evaluation metrics and application scenarios we compare the inpainting algorithms with released source codes we outline the challenges and possible future directions image inpainting has been widely exploited in the field of computer vision and image processing the main purpose of image inpainting is to produce visually plausible structure and texture for the missing regions of damaged images in the past decade the success of deep learning has brought new opportunities to many vision tasks which promoted the development of a large number of deep learningbased image inpainting methods although these methods have many similarities they also have their own characteristics due to the differences in data types application scenarios computing platforms etc it is necessary to classify and summarize these methods to provide a reference for the research community in this survey we present a comprehensive overview of recent advances in deep learningbased image inpainting first we categorize the deep learningbased techniques from multiple perspectives inpainting strategies network structures and loss functions second we summarize the open source codes and representative public datasets and introduce the evaluation metrics for quantitative comparisons third we summarize the realworld applications of image inpainting in different scenarios and give a detailed analysis on the performance of different inpainting algorithms at last we conclude the survey and discuss about the future directions",Other
Plant trait estimation and classification studies in plant phenotyping using machine vision – A review,https://doi.org/10.1016/j.inpa.2021.02.006,"imaging techniques used for plant phenotyping machine vision methodologies used for plant trait estimation and classification plant image segmentation techniques for plant growth tracking publicly available dataset for plant phenotyping future research directions in plant phenotyping today there is a rapid development taking place in phenotyping of plants using nondestructive image based machine vision techniques machine vision based plant phenotyping ranges from single plant trait estimation to broad assessment of crop canopy for thousands of plants in the field plant phenotyping systems either use single imaging method or integrative approach signifying simultaneous use of some of the imaging techniques like visible red green and blue rgb imaging thermal imaging chlorophyll fluorescence imaging cfim hyperspectral imaging 3dimensional 3d imaging or high resolution volumetric imaging this paper provides an overview of imaging techniques and their applications in the field of plant phenotyping this paper presents a comprehensive survey on recent machine vision methods for plant trait estimation and classification in this paper information about publicly available datasets is provided for uniform comparison among the stateoftheart phenotyping methods this paper also presents future research directions related to the use of deep learning based machine vision algorithms for structural 2d and 3d physiological and temporal trait estimation and classification studies in plants",Other
Automatic classification of textile visual pollutants using deep learning networks,https://doi.org/10.1016/j.aej.2022.07.039,"urban pollution is a massive global problem especially in industrialized and developing nations visual pollution is an issue concerned with the external noticeable appearance of the modern urban areas causing human health disorders emotional distress driving distraction environmental hazards etc amidst the plethora of different forms of environmental pollution visual pollution deteriorates the aesthetics of an urban environment endorsing the importance of research and assessing it from different dimensions the main objective of this study is to initialize a new concept of automatic identification and classification of visible contaminants related to textile industries using computer vision techniques in this work deep learning techniques have been applied for the automatic detection and classification of three categories of textilebased visual pollutants ie cloth garbage advertising billboards and signages and textile dyeing waste materials initially 1709 visual pollutants images were obtained through web crawling of search engines additionally 954 images were collected from two local garments factories roadside vendors and shopping malls of bangladesh next the dataset was manually annotated by an opensource labeling tool finally various deep learning techniques faster rcnn yolov5 and efficientdet have been used to classify the obtained dataset automatically the efficientdet framework achieved the best performance with 97 and 93 training and test accuracies respectively the yolov5 approach exhibits acceptable precision with a considerably lower number of epochs the proposed automated classification system is expected to create future visual pollution ratings for the textile industries consequently the corresponding stakeholders industry owners government authorities factory workers etc can introduce regulatory frameworks and control the proliferation of visual pollution the opensource images obtained by web crawling locally collected visual pollutants dataset and implementation code of this work are available at httpsgithubcomsadiaafrin163textilevisualpollutantsdataset",Other
Fruit quality and defect image classification with conditional GAN data augmentation,https://doi.org/10.1016/j.scienta.2021.110684,"cgan data augmentation improves fruit quality classification gradcam shows cgan generates useful features for classification pruning reduces model size to 50 of original size retaining high accuracy code and models made publicly available for future work contemporary artificial intelligence technologies allow for the employment of computer vision to discern good crops from bad providing a step in the pipeline of selecting healthy fruit from undesirable fruit such as those which are mouldy or damaged stateoftheart works in the field report high accuracy results on small datasets 1000 images which are not representative of the population regarding realworld usage the goals of this study are to further enable realworld usage by improving generalisation with data augmentation as well as to reduce overfitting and energy usage through model pruning in this work we suggest a machine learning pipeline that combines the ideas of finetuning transfer learning and generative modelbased training data augmentation towards improving fruit quality image classification a linear network topology search is performed to tune a vgg16 lemon quality classification model using a publiclyavailable dataset of 2690 images we find that appending a 4096 neuron fully connected layer to the convolutional layers leads to an image classification accuracy of 8377 we then train a conditional generative adversarial network on the training data for 2000 epochs and it learns to generate relatively realistic images gradcam analysis of the model trained on real photographs shows that the synthetic images can exhibit classifiable characteristics such as shape mould and gangrene a higher image classification accuracy of 8875 is then attained by augmenting the training with synthetic images arguing that conditional generative adversarial networks have the ability to produce new data to alleviate issues of data scarcity finally model pruning is performed via polynomial decay where we find that the conditional ganaugmented classification network can retain 8116 classification accuracy when compressed to 50 of its original size",Other
Underwater Image Enhancement via Minimal Color Loss and Locally Adaptive Contrast Enhancement,https://doi.org/10.1109/TIP.2022.3177129,"underwater images typically suffer from color deviations and low visibility due to the wavelengthdependent light absorption and scattering to deal with these degradation issues we propose an efficient and robust underwater image enhancement method called mlle specifically we first locally adjust the color and details of an input image according to a minimum color loss principle and a maximum attenuation mapguided fusion strategy afterward we employ the integral and squared integral maps to compute the mean and variance of local image blocks which are used to adaptively adjust the contrast of the input image meanwhile a color balance strategy is introduced to balance the color differences between channel a and channel b in the cielab color space our enhanced results are characterized by vivid color improved contrast and enhanced details extensive experiments on three underwater image enhancement datasets demonstrate that our method outperforms the stateoftheart methods our method is also appealing in its fast processing speed within 1s for processing an image of size 1024x00d71024x00d73 on a single cpu experiments further suggest that our method can effectively improve the performance of underwater image segmentation keypoint detection and saliency detection the project page is available at httpslichongyigithubioprojmmlehtml",Other
PolyLoss: A Polynomial Expansion Perspective of Classification Loss  Functions,https://doi.org/10.48550/arXiv.2204.12511,"crossentropy loss and focal loss are the most common choices when training deep neural networks for classification problems generally speaking however a good loss function can take on much more flexible forms and should be tailored for different tasks and datasets motivated by how functions can be approximated via taylor expansion we propose a simple framework named polyloss to view and design loss functions as a linear combination of polynomial functions our polyloss allows the importance of different polynomial bases to be easily adjusted depending on the targeting tasks and datasets while naturally subsuming the aforementioned crossentropy loss and focal loss as special cases extensive experimental results show that the optimal choice within the polyloss is indeed dependent on the task and dataset simply by introducing one extra hyperparameter and adding one line of code our poly1 formulation outperforms the crossentropy loss and focal loss on 2d image classification instance segmentation object detection and 3d object detection tasks sometimes by a large margin",Other
Image-Adaptive YOLO for Object Detection in Adverse Weather Conditions,https://doi.org/10.1609/aaai.v36i2.20072,"though deep learningbased object detection methods have achieved promising results on the conventional datasets it is still challenging to locate objects from the lowquality images captured in adverse weather conditions the existing methods either have difficulties in balancing the tasks of image enhancement and object detection or often ignore the latent information beneficial for detection to alleviate this problem we propose a novel imageadaptive yolo iayolo framework where each image can be adaptively enhanced for better detection performance specifically a differentiable image processing dip module is presented to take into account the adverse weather conditions for yolo detector whose parameters are predicted by a small convolutional neural network cnnpp we learn cnnpp and yolov3 jointly in an endtoend fashion which ensures that cnnpp can learn an appropriate dip to enhance the image for detection in a weakly supervised manner our proposed iayolo approach can adaptively process images in both normal and adverse weather conditions the experimental results are very encouraging demonstrating the effectiveness of our proposed iayolo method in both foggy and lowlight scenarios the source code can be found at httpsgithubcomwenyyuimageadaptiveyolo",Other
Large Scale Visual Food Recognition,https://doi.org/10.1109/TPAMI.2023.3237871,"food recognition plays an important role in food choice and intake which is essential to the health and wellbeing of humans it is thus of importance to the computer vision community and can further support many foodoriented vision and multimodal tasks eg food detection and segmentation crossmodal recipe retrieval and generation unfortunately we have witnessed remarkable advancements in generic visual recognition for released largescale datasets yet largely lags in the food domain in this paper we introduce food2k which is the largest food recognition dataset with 2000 categories and over 1 million images compared with existing food recognition datasets food2k bypasses them in both categories and images by one order of magnitude and thus establishes a new challenging benchmark to develop advanced models for food visual representation learning furthermore we propose a deep progressive region enhancement network for food recognition which mainly consists of two components namely progressive local feature learning and region feature enhancement the former adopts improved progressive training to learn diverse and complementary local features while the latter utilizes selfattention to incorporate richer context with multiple scales into local features for further local feature enhancement extensive experiments on food2k demonstrate the effectiveness of our proposed method more importantly we have verified better generalization ability of food2k in various tasks including food image recognition food image retrieval crossmodal recipe retrieval food detection and segmentation food2k can be further explored to benefit more foodrelevant tasks including emerging and more complex ones eg nutritional understanding of food and the trained models on food2k can be expected as backbones to improve the performance of more foodrelevant tasks we also hope food2k can serve as a large scale finegrained visual recognition benchmark and contributes to the development of large scale finegrained visual analysis the dataset code and models are publicly available at uri xmlnsmmlhttpwwww3org1998mathmathml xmlnsxlinkhttpwwww3org1999xlinkhttp123574289foodprojecthtmluri",Other
Glass Segmentation with RGB-Thermal Image Pairs,https://doi.org/10.1109/TIP.2023.3256762,"this paper proposes a new glass segmentation method utilizing paired rgb and thermal images due to the large difference between the transmission property of visible light and that of the thermal energy through the glass where most glass is transparent to the visible light but opaque to thermal energy glass regions of a scene are made more distinguishable with a pair of rgb and thermal images than solely with an rgb image to exploit such a unique property we propose a neural network architecture that effectively combines an rgbthermal image pair with a new multimodal fusion module based on attention and integrate cnn and transformer to extract local features and nonlocal dependencies respectively as well we have collected a new dataset containing 5551 rgbthermal image pairs with groundtruth segmentation annotations the qualitative and quantitative evaluations demonstrate the effectiveness of the proposed approach on fusing rgb and thermal data for glass segmentation our code and data are available at httpsgithubcomdonghuorgbtglasssegmentation",Other
Palette: Image-to-Image Diffusion Models,https://doi.org/10.1145/3528233.3530757,"we introduce palette a simple and general framework for imagetoimage translation using conditional diffusion models on four challenging imagetoimage translation tasks colorization inpainting uncropping and jpeg decompression palette outperforms strong gan and regression baselines and establishes a new state of the art this is accomplished without taskspecific hyperparameter tuning architecture customization or any auxiliary loss demonstrating a desirable degree of generality and flexibility we uncover the impact of using l2 vs l1 loss in the denoising diffusion objective on sample diversity and demonstrate the importance of selfattention through empirical architecture studies importantly we advocate a unified evaluation protocol based on imagenet and report several sample quality scores including fid inception score classification accuracy of a pretrained resnet50 and perceptual distance against reference images for various baselines we expect this standardized evaluation protocol to play a critical role in advancing imagetoimage translation research finally we show that a single generalist palette model trained on 3 tasks colorization inpainting jpeg decompression performs as well or better than taskspecific specialist counterparts",Other
Automatic soil desiccation crack recognition using deep learning,https://doi.org/10.1680/jgeot.20.P.091,"soil desiccation cracking is a common natural phenomenon the existence of cracks can negatively impact both the mechanical and hydraulic properties of soil accurate acquisition of soil crack networks is not only the basis for obtaining the relevant geometrical parameters of crack networks but also an important foundation and premise for further study about the formation mechanism of shrinkage and desiccation cracking this study proposes a new automatic soil cracks recognition method based on a unet convolutional neural network cnn architecture for segmentation on soil desiccation crack images the backbone of the unet encoder is selected as resnet and a new loss function combining both binary crossentropy bce loss and dice loss is used during the training stage to fit an imbalance problem subsequently the unet with an encoder based on resnet and a decoder part is trained from end to end on a subset of 524 labelled crack images with 224 224 pixels for semantic segmentation the unet architecture achieves 9438 7443 and 8113 for precision recall and dice scores on test sets which are better than all results using the otsu threshold method employed in the traditional crack image processing technique experimental results reveal that deep learning can achieve higher accuracy than the traditional method binarisation by thresholding in quantifying surface crack ratio average crack width total crack length and crack number moreover deep learning can not only accurately identify cracks or spots by means of crack edge features but also can accurately separate soil cracks and clod areas under a bad photographing condition such as uneven illumination a field environment or poor photographing angle overall the proposed deep learningbased method presents a satisfactory performance in soil crack image recognition and quantification it may also be applied to other materials with cracks",Other
Enhanced deep convolutional neural network for malarial parasite classification,https://doi.org/10.1080/1206212X.2019.1672277,"the standard method for examining malarial disease is performed through the examination of blood smears under the microscope for parasiteinfected red blood cells and this is done by qualified tech",Other
An improved YOLOv5 model based on visual attention mechanism: Application to recognition of tomato virus disease,https://doi.org/10.1016/j.compag.2022.106780,"a deep learning model based on attention mechanism is proposed for tomato virus disease recognition the recognition accuracy is improved while maintaining the same detection speed it provides technical support for other researches related to plant disease recognition traditional target detection methods cannot effectively screen key features which leads to overfitting and produces a model with a weak generalization ability in this paper an improved seyolov5 network model is proposed for the recognition of tomato virus diseases images of tomato diseases in greenhouses were collected using a mobile phone and the collected images were expanded a squeezeandexcitation se module was added to a yolov5 model to realize the extraction of key features using a human visual attention mechanism for reference the trained network model was evaluated on the test set of tomato virus diseases the accuracy was 9107 which was 712 1785 and 891 higher than that of the faster regions with convolutional neural network features rcnn model singleshot multibox detector ssd model and yolov5 model respectively meanwhile the mean average precision map 05 was 9410 which was 123 1677 and 178 higher than that of the faster rcnn model ssd model and yolov5 model the proposed seyolov5 model can effectively detect regions of tomato virus disease which provides disease identification and control theoretical research and technical support",Other
Deep Transfer Learning Based Classification Model for COVID-19 Disease,https://doi.org/10.1016/j.irbm.2020.05.003,"the covid19 infection is increasing at a rapid rate with the availability of limited number of testing kits therefore the development of covid19 testing kits is still an open area of research recently many studies have shown that chest computed tomography ct images can be used for covid19 testing as chest ct images show a bilateral change in covid19 infected patients however the classification of covid19 patients from chest ct images is not an easy task as predicting the bilateral change is defined as an illposed problem therefore in this paper a deep transfer learning technique is used to classify covid19 infected patients additionally a top2 smooth loss function with costsensitive attributes is also utilized to handle noisy and imbalanced covid19 dataset kind of problems experimental results reveal that the proposed deep transfer learningbased covid19 classification model provides efficient results as compared to the other supervised learning models",Other
Weakly Supervised 3D Scene Segmentation with Region-Level Boundary Awareness and Instance Discrimination,https://doi.org/10.1007/978-3-031-19815-1_3,"abstractcurrent stateoftheart 3d scene understanding methods are merely designed in a fullsupervised way however in the limited reconstruction cases only limited 3d scenes can be reconstructed and annotated we are in need of a framework that can concurrently be applied to 3d point cloud semantic segmentation and instance segmentation particularly in circumstances where labels are rather scarce the paper introduces an effective approach to tackle the 3d scene understanding problem when labeled scenes are limited to leverage the boundary information we propose a novel energybased loss with boundary awareness benefiting from the regionlevel boundary labels predicted by the boundary prediction network to encourage latent instance discrimination and guarantee efficiency we propose the first unsupervised regionlevel semantic contrastive learning scheme for point clouds which uses confident predictions of the network to discriminate the intermediate feature embeddings in multiple stages in the limited reconstruction case our proposed approach termed ws3d has pioneer performance on the largescale scannet on semantic segmentation and instance segmentation also our proposed ws3d achieves stateoftheart performance on the other indoor and outdoor datasets s3dis and semantickitti keywords3d scene understandingweaklysupervisedsemisupervised learningregionlevel contrastenergy functionsegmentation",Other
Exploring Local Detail Perception for Scene Sketch Semantic Segmentation,https://doi.org/10.1109/TIP.2022.3142511,"in this paper we aim to explore the finegrained perception ability of deep models for the newly proposed scene sketch semantic segmentation task scene sketches are abstract drawings containing multiple related objects it plays a vital role in daily communication and humancomputer interaction the study has only recently started due to a main obstacle of the absence of largescale datasets the currently available dataset sketchyscene is composed of clip artstyle edge maps which lacks abstractness and diversity to drive further research we contribute two new largescale datasets based on real handdrawn object sketches a general automatic scene sketch synthesis process is developed to assist with new dataset composition furthermore we propose to enhancing local detail perception in deep models to realize accurate strokeoriented scene sketch segmentation due to the inherent differences between handdrawn sketches and natural images extreme lowlevel local features of strokes are incorporated to improve detail discrimination stroke masks are also integrated into model training to guide the learning attention extensive experiments are conducted on three largescale scene sketch datasets our method achieves stateoftheart performance under four evaluation metrics and yields meaningful interpretability via visual analytics",Other
