,0
domains,12
view,12
desirable,11
metrics.,11
composed,11
user,11
characterization,11
interpretation,11
capturing,11
"diseases,",11
diagnose,11
guided,11
problem.,11
representative,11
investigated,11
scales,11
focuses,11
leveraging,11
background,11
"Besides,",11
quite,11
variability.,11
multi-task,11
assessment.,11
confidence,11
normal,11
anatomically,11
(ML),11
effort,11
labelled,11
give,11
objective,11
vector,11
"that,",11
ratio,11
population,11
always,11
pathologies,11
levels,11
alleviate,11
loss.,11
factors,11
past,11
observed,11
multi-class,11
produces,11
easily,11
amounts,11
patient-specific,11
.,11
resulted,11
deformations,11
high-resolution,11
variable,11
chamber,11
scans.,11
skip,11
much,11
cycle.,11
coronary,11
analyzed,11
characterize,11
sufficient,11
cardiomyopathy,11
literature,11
detailed,11
analyzing,11
3,11
therefore,11
health,11
"(LV),",11
generalize,11
article,11
namely,11
CMR.,11
leverages,11
generally,11
Heart,11
used.,11
"registration,",11
150,11
points,11
Then,11
set.,11
done,11
like,11
named,11
basic,11
another,11
three-dimensional,11
distinct,11
"hand,",11
"this,",11
flow,11
real-world,11
choice,11
sequential,11
sampling,11
prognostic,11
recognition,10
consisted,10
2018,10
delineation,10
medicine,10
Similarity,10
benefits,10
GAN,10
end-systole,10
channel,10
part,10
post-processing,10
integrate,10
etc.,10
Coefficient,10
pseudo,10
non-invasive,10
complete,10
remaining,10
facilitate,10
self-supervised,10
More,10
memory,10
build,10
setting.,10
correct,10
conditions.,10
volume.,10
version,10
together,10
Jaccard,10
16,10
complementary,10
explicitly,10
"Then,",10
types,10
manner.,10
Pearson,10
correction,10
translation,10
artery,10
performs,10
superiority,10
classification.,10
database,10
classify,10
4D,10
phase,10
integrating,10
strongly,10
jointly,10
missing,10
fields,10
localization,10
systems,10
correlations,10
diversity,10
extracting,10
concept,10
topological,10
type,10
desired,10
obtaining,10
preserving,10
reconstruction.,10
Transformer,10
cine-MRI,10
registration.,10
modified,10
UK,10
samples.,10
limited.,10
maintaining,10
utilizes,10
minimal,10
enforce,10
hypertrophic,10
guide,10
constrained,10
cross,10
scan,10
Both,10
indices,10
care,10
"Here,",10
(r,10
power,10
primary,10
location,10
testing.,10
evaluating,10
parallel,10
"Meanwhile,",10
segmentations.,10
100,10
scanners,10
larger,10
reveal,10
modalities.,10
characteristic,10
stage,10
pulmonary,10
95%,10
edge,10
inherent,10
"labels,",10
reported,10
convergence,10
apical,10
employs,9
Ventricle,9
mostly,9
body,9
chambers,9
0.87,9
Results:,9
researchers,9
"issues,",9
explored,9
idea,9
basal,9
research.,9
algorithm.,9
Generative,9
impressive,9
quantitatively,9
base,9
discriminator,9
aggregation,9
per,9
i.e.,9
scientific,9
material,9
tumor,9
settings,9
scarcity,9
estimation.,9
precision,9
ultrasound,9
dimensions,9
directions,9
"result,",9
weak,9
suitable,9
tissues,9
taking,9
reconstruct,9
predicting,9
"metrics,",9
readers,9
online,9
4,9
defined,9
explicit,9
inter-observer,9
building,9
limits,9
"reconstruction,",9
specifically,9
summarize,9
simulation,9
"cases,",9
UNet,9
boundaries,9
topology,9
PROMISE12,9
particular,9
epicardial,9
years,9
endocardial,9
close,9
tedious,9
insights,9
hope,9
identified,9
take,9
vs,9
(EF),9
degraded,9
FCN,9
comparing,9
(CVD),9
median,9
analyses,9
automating,9
and/or,9
rather,9
six,9
surgical,9
Fully,9
powerful,9
DL-based,9
0.90,9
extensively,9
"disease,",9
covering,9
objects,9
frame,9
real-time,9
Myocardial,9
dropout,9
methodology,9
experienced,9
effect,9
automate,9
ventricle.,9
yielding,9
p,9
biventricular,9
quantifying,9
term,9
(n,9
paired,9
poor,9
search,9
Manual,9
5,9
external,9
"Also,",9
classified,9
"loss,",9
Machine,9
formulation,9
&,9
Many,9
batch,9
joint,9
allowing,9
differentiable,9
clinicians,9
promote,9
fail,9
understand,9
size.,9
scar,9
connections,9
comparisons,9
offer,9
largely,9
predictive,9
varying,9
Most,9
upon,9
discussed,9
Different,9
LA,9
advent,9
numerous,9
rapidly,9
yield,9
statistically,9
symmetric,9
monitoring,9
operations,8
solely,8
(ii),8
smaller,8
classes,8
curve,8
"(RV),",8
min,8
prostate,8
relative,8
easy,8
physiological,8
feasibility,8
ground-truth,8
personalized,8
Methods:,8
applicability,8
efficacy,8
encode,8
computation,8
point,8
bridge,8
applicable,8
generator,8
(i),8
considerable,8
interpretability,8
intermediate,8
increasingly,8
sets.,8
growing,8
1),8
produced,8
2),8
absence,8
guidance,8
normalized,8
"scenarios,",8
distributions,8
CNN-based,8
targets,8
"context,",8
12,8
"modalities,",8
requirement,8
direction,8
proposed.,8
evidence,8
might,8
incorporates,8
"patients,",8
two-dimensional,8
collect,8
implicitly,8
hybrid,8
extend,8
surgery.,8
scenarios,8
accelerate,8
steps,8
commercially,8
"algorithm,",8
heterogeneity,8
"review,",8
cancer,8
balanced,8
"estimation,",8
at:,8
abdominal,8
network's,8
Each,8
datasets:,8
entropy,8
self-attention,8
physicians,8
capable,8
discriminative,8
dependencies,8
relevance,8
transform,8
survey,8
reproducibility,8
published,8
slightly,8
formulate,8
regularize,8
During,8
shared,8
"slices,",8
probabilistic,8
acquisitions,8
diagnosing,8
receptive,8
levels.,8
automation,8
widespread,8
concepts,8
impose,8
similarly,8
detected,8
parameter,8
connected,8
"algorithms,",8
pixels,8
transformations,8
sample,8
shapes.,8
workflow,8
get,8
LGE,8
deep-learning,8
diffeomorphic,8
views,8
chest,8
domains.,8
demonstrating,8
condition,8
"shape,",8
(mean,8
valuable,8
expand,8
encoded,8
indicates,8
level.,8
near,8
basis,8
refinement,8
"fraction,",8
"strategies,",8
neighboring,8
outperform,8
"measures,",8
inclusion,8
mutual,8
atrium,8
boost,8
"knowledge,",8
management,8
identifying,8
losses,8
left-ventricular,8
(CMRI),8
0.93,8
"mass,",8
pose,8
Attention,8
epicardium,8
computing,8
Bayesian,8
fed,8
facilitates,8
"strategy,",8
(e.g.,8
contouring,8
"classification,",8
myocardium.,8
phases,8
"evaluation,",8
burden,8
(GANs),8
CMRI,8
"detection,",8
contrastive,8
operation,8
describes,8
P,8
"challenges,",8
systematic,8
reliability,8
platform,8
anatomy.,8
experts.,8
separate,8
raw,8
performances,8
"domain,",8
preprocessing,8
"functions,",8
paradigm,7
noninvasive,7
flexible,7
increases,7
inferred,7
appearance,7
borders,7
thickness,7
Temporal,7
"processing,",7
inference.,7
aortic,7
Gaussian,7
patients',7
Such,7
substantial,7
incorporation,7
(3),7
processes,7
centers,7
EF,7
systematically,7
Active,7
account,7
values.,7
regarding,7
reviewed,7
comes,7
LV.,7
involving,7
signal-to-noise,7
morphological,7
candidate,7
aggregate,7
infer,7
components,7
internal,7
"intelligence,",7
addresses,7
"validation,",7
visualization,7
allowed,7
spatiotemporal,7
resolution.,7
propagation,7
"image,",7
cycle,7
look,7
modern,7
Cine,7
overfitting,7
0.95,7
proved,7
fact,7
years.,7
papers,7
rich,7
"constraints,",7
valid,7
establish,7
adapt,7
multi-level,7
far,7
HD,7
estimating,7
introduced.,7
serious,7
causes,7
0.94,7
expected,7
believe,7
core,7
benefit,7
context.,7
fixed,7
reach,7
suffering,7
decisions.,7
(LGE),7
developing,7
super-resolution,7
requiring,7
soft,7
integrates,7
Adversarial,7
Deformable,7
sequences.,7
shapes,7
carried,7
unified,7
exploits,7
low-dimensional,7
"sequences,",7
technological,7
discussed.,7
diastolic,7
"Nevertheless,",7
around,7
variation,7
statistics,7
led,7
vs.,7
Combining,7
submitted,7
"LV,",7
fundamental,7
little,7
greatly,7
established,7
reduces,7
procedures,7
"practice,",7
in-house,7
optimizing,7
beneficial,7
ones.,7
huge,7
fully-automatic,7
Even,7
model's,7
deviation,7
geometry,7
adverse,7
mechanisms,7
throughout,7
15,7
dependency,7
"sensitivity,",7
stratification,7
dedicated,7
Purpose,7
simulate,7
scale,7
image-level,7
introducing,7
enforcing,7
(ACDC).,7
subset,7
consecutive,7
sensitivity,7
state-of-the-art.,7
embedded,7
activation,7
"mm,",7
"Secondly,",7
efforts,7
computationally,7
trends,7
classifying,7
privacy,7
top,7
fine-grained,7
pretrained,7
refers,7
percentage,7
outcomes.,7
aiming,7
sparse,7
interaction,7
relationships,7
emerged,7
certain,7
settings.,7
age,7
morphology,7
Background,7
acquire.,7
Model,7
potentially,7
findings,7
fraction.,7
pre-training,7
"annotations,",7
easier,7
subjects.,7
scanning,7
mm.,7
central,7
EMIDEC,7
"annotation,",7
U-Net.,7
region.,7
matching,7
necessary,7
collected,7
time-consuming.,7
conditions,7
aspects,7
interest.,7
latest,7
mask,7
AbstractWe,7
(GAN),7
opportunities,7
fuse,7
Code,7
technologies,7
position,7
systolic,7
reporting,7
T1,7
stages,7
calculation,7
cross-entropy,7
creating,6
imbalanced,6
reconstructed,6
Monte,6
Carlo,6
cavities,6
though,6
scales.,6
last,6
bias.,6
opportunity,6
constructing,6
solving,6
dynamics,6
"problems,",6
multi-modal,6
intraclass,6
intervention.,6
Conclusions,6
embedding,6
labor-intensive,6
"heart,",6
And,6
map.,6
ROI,6
"(DSC),",6
ranging,6
infarction.,6
incorporated,6
therapeutic,6
reached,6
Conclusion,6
(Myo),6
thorough,6
contributions,6
simulated,6
depends,6
stage.,6
subsequently,6
almost,6
heavily,6
"convolution,",6
next,6
computer-aided,6
"Firstly,",6
Two,6
noise.,6
analyses.,6
constructed,6
fused,6
experiment,6
"stage,",6
interobserver,6
"ACDC,",6
sequence.,6
"example,",6
When,6
drastically,6
consuming,6
derive,6
augmentation.,6
pattern,6
Here,6
retrospective,6
"acquisition,",6
technical,6
adaptively,6
CVDs.,6
gains,6
end,6
issues,6
(LA),6
enabled,6
applies,6
gained,6
contrast.,6
relying,6
"RSNA,",6
signal,6
constraints.,6
achieved.,6
wrong,6
orientation,6
devise,6
hardware,6
tissue.,6
After,6
Quantitative,6
in-depth,6
healthcare,6
"size,",6
nature,6
45,6
acquiring,6
accessible,6
broad,6
bottleneck,6
added,6
coarse,6
"technology,",6
"contrast,",6
extremely,6
largest,6
cross-validation,6
predicts,6
status,6
invasive,6
interpretable,6
Inspired,6
indicating,6
collaborative,6
world.,6
extra,6
proper,6
use.,6
cost.,6
muscle,6
task-specific,6
cardiology,6
exploiting,6
connection,6
Existing,6
revealed,6
literature.,6
inaccurate,6
positive,6
retain,6
strategy.,6
vast,6
"0.93,",6
synthesis,6
greater,6
"Currently,",6
advance,6
reproducible,6
captures,6
"vision,",6
Quantification,6
texture,6
frequently,6
free,6
instead,6
concern,6
"CMR,",6
Clinical,6
except,6
study.,6
pool,6
de,6
coupled,6
(ROI),6
radial,6
true,6
typical,6
virtual,6
"level,",6
autoencoder,6
failure,6
30,6
delineating,6
consistently,6
"time-consuming,",6
effects,6
gives,6
retrospectively,6
augment,6
producing,6
serve,6
"interpretation,",6
sometimes,6
Training,6
strain.,6
released,6
(Dice,6
examinations,6
wider,6
adopt,6
FCNs,6
Tomography,6
era,6
abnormal,6
Biobank,6
recurrent,6
",",6
creation,6
landmark,6
whereas,6
high-level,6
CVD,6
groups.,6
frameworks,6
"automated,",6
0.82,6
Computed,6
0.89,6
operating,6
means,6
positions,6
vivo,6
radiologists,6
surgery,6
strategies.,6
ED,6
Sunnybrook,6
"experiments,",6
community.,6
blinded,6
encourages,6
technique.,6
featuring,6
generalized,6
completely,6
posterior,6
generalization.,6
"input,",6
Three,6
details,6
although,6
representations.,6
"region,",6
incorrect,6
multiscale,6
Statistical,6
progressive,6
"accurate,",6
us,6
decoder.,6
observe,6
tailored,6
phantom,6
"proposed,",6
factor,6
smooth,6
adoption,6
severe,6
surrounding,5
causing,5
pairs,5
0.91,5
20%,5
1.5,5
0.92,5
variance,5
calculate,5
irregular,5
unique,5
simulations.,5
distributions.,5
University,5
radiomics,5
incomplete,5
overlap,5
"therefore,",5
periodic,5
vectors,5
determined,5
issues.,5
highest,5
"ventricles,",5
"measurements,",5
ventricles.,5
least,5
stable,5
violating,5
trainable,5
adapted,5
tests,5
LVM,5
requirements,5
bounding,5
affect,5
respectively).,5
multi-disease,5
becoming,5
"multi-vendor,",5
argue,5
maximum,5
introduction,5
termed,5
LVEF,5
gradually,5
"Dice,",5
exhibited,5
breast,5
assistance,5
(SOTA),5
uncertainty.,5
fashion,5
fashion.,5
healthcare.,5
verify,5
proven,5
categorize,5
"characteristics,",5
classifier,5
thanks,5
"way,",5
inevitably,5
anisotropic,5
measurements.,5
pressure,5
multi-sequence,5
illustrate,5
alleviating,5
adjacent,5
T2,5
energy,5
sensitive,5
Visual,5
laborious,5
Ventricular,5
subsets,5
daily,5
"Unfortunately,",5
inspection,5
0.77,5
signed,5
ones,5
boundaries.,5
ES,5
well-known,5
highlights,5
"limitations,",5
knowledge.,5
refine,5
formulated,5
value.,5
description,5
negative,5
Coronary,5
exhibit,5
descriptors,5
morbidity,5
routine,5
medicine.,5
influence,5
uncertain,5
simulating,5
At,5
model’s,5
topic,5
dynamics.,5
helping,5
tool.,5
adequate,5
development.,5
heavy,5
reuse,5
receiver,5
difficulties,5
third,5
cyclic,5
weighting,5
"representations,",5
reviews,5
concerns,5
report,5
mesh,5
principal,5
(3D),5
meshes,5
"medicine,",5
(p,5
ensuring,5
noisy,5
(CNN).,5
feedback,5
landmarks,5
"privacy,",5
federated,5
deployed,5
assigned,5
radiology,5
"research,",5
surfaces,5
fine-tuning,5
Traditional,5
From,5
aid,5
postprocessing,5
poorly,5
ways,5
domain-specific,5
multi-resolution,5
observer,5
dimensional,5
lesion,5
kernel,5
"world,",5
actual,5
en,5
"software,",5
targeted,5
strengths,5
remarkable,5
starting,5
distances,5
took,5
11,5
on-the-fly,5
universal,5
impossible,5
variables,5
"regions,",5
"block,",5
5%,5
videos,5
result.,5
Motion,5
Evaluation,5
grow,5
weight,5
points.,5
lesions,5
"issue,",5
pretraining,5
Semantic,5
thin,5
thereby,5
stress,5
long-term,5
arrhythmia,5
problems.,5
rest,5
SSL,5
scribbles,5
however,5
fit,5
available.,5
"area,",5
approximate,5
database.,5
embed,5
ideal,5
stability,5
forward,5
exist,5
images).,5
onto,5
(P,5
primarily,5
Atrial,5
3),5
contours.,5
Considering,5
constrain,5
"domains,",5
conjunction,5
preserved,5
dramatic,5
"clinicians,",5
r,5
"cardiomyopathy,",5
6,5
"prediction,",5
augmented,5
vendors.,5
updated,5
rapid,5
mixing,5
"groups,",5
gadolinium-enhanced,5
organized,5
mitral,5
pooling,5
multimodal,5
longitudinal,5
supports,5
Through,5
Conclusions:,5
"(CT),",5
denoising,5
paper.,5
systems.,5
respectively,5
mathematical,5
(left,5
unable,5
generalizable,5
Distance,5
"resolution,",5
"module,",5
carefully,5
emergence,5
closer,5
"sets,",5
taken,5
substructures,5
chosen,5
connectivity,5
detecting,5
contain,5
presented.,5
come,5
captured,5
commercial,5
ultimately,5
derivation,5
cavity.,5
supporting,5
0.88,5
emerging,5
"masks,",5
"subjects,",5
cross-domain,5
behind,5
well-trained,5
diffusion,5
scenario,5
degradation,5
adding,5
atria,5
vary,5
LGE-MRI,5
"architectures,",5
overcoming,5
exams,5
encoding,5
richer,5
suited,5
adapts,5
perspectives,5
modeled,5
Supervised,5
regular,5
simply,5
clinician,5
interactive,5
Multi-Center,5
dependent,5
exploring,5
Multi-View,5
correspondence,5
non-trivial,5
naturally,5
extension,5
way.,5
perturbations,5
conducive,5
"examples,",5
redundant,5
low-level,5
execution,5
unlabelled,5
reflect,5
fine-tune,5
smoothing,5
contribution,5
regularized,5
machine-learning-based,5
validation.,5
coherence,5
8,5
machines,5
"UNet,",5
community,5
(FCN),5
Comparison,5
valve,5
"map,",5
"representation,",5
mobile,5
hence,5
update,5
learnt,5
cohort.,5
acquisition.,5
multi-organ,5
tissues.,5
international,5
attention.,5
calculation.,5
remain,5
prerequisite,5
neglect,5
benchmarking,5
module.,5
fidelity,5
center,4
"pairs,",4
resolve,4
localize,4
force,4
outcomes,4
"first,",4
clear,4
bring,4
backbone,4
(UDA),4
(and,4
(i.e.,4
reviewing,4
closed,4
reconstructing,4
VAE,4
salient,4
parametric,4
unannotated,4
adapting,4
stacks,4
"classes,",4
elements,4
try,4
(QC),4
inter-,4
satisfactory,4
>,4
un,4
hypothesize,4
output.,4
QC,4
"0.92,",4
una,4
"artifacts,",4
"characterization,",4
(HD),4
success.,4
face,4
designing,4
involves,4
"contour,",4
minimize,4
good-quality,4
prospective,4
Score,4
simultaneously.,4
consideration,4
finding,4
