name,DOI,publication_year,dataset_used
Medical image analysis on left atrial LGE MRI for atrial fibrillation studies: A review,10.1016/j.media.2022.102360,2022,LA
3D Right Ventricle Reconstruction from 2D U-Net Segmentation of Sparse Short-Axis and 4-Chamber Cardiac Cine MRI Views,10.1007/978-3-030-93722-5_38,2022,LA
Performance Comparison of Deep Learning Approaches for Left Atrium Segmentation From LGE-MRI Data,10.22489/cinc.2020.306,2020,LA
Hierarchical Consistency Regularized Mean Teacher for Semi-supervised 3D  Left Atrium Segmentation,10.48550/arxiv.2105.10369,2021,LA
AtrialGeneral: Domain Generalization for Left Atrial Segmentation of  Multi-Center LGE MRIs,10.48550/arxiv.2106.08727,2021,LA
AtrialGeneral: Domain Generalization for Left Atrial Segmentation of Multi-center LGE MRIs,10.1007/978-3-030-87231-1_54,2021,LA
Reciprocal Learning for Semi-supervised Segmentation,10.1007/978-3-030-87196-3_33,2021,LA
Residual Moment Loss for Medical Image Segmentation,10.48550/arxiv.2106.14178,2021,LA
Exploring Smoothness and Class-Separation for Semi-supervised Medical Image Segmentation,10.1007/978-3-031-16443-9_4,2022,LA
Semi-supervised Left Atrium Segmentation with Mutual Consistency Training,10.1007/978-3-030-87196-3_28,2021,LA
Cross Task Temporal Consistency for Semi-supervised Medical Image Segmentation,10.1007/978-3-031-21014-3_15,2022,LA
Decoupling Predictions in Distributed Learning for Multi-Center Left  Atrial MRI Segmentation,10.48550/arxiv.2206.05284,2022,LA
Segmentation with Super Images: A New 2D Perspective on 3D Medical Image  Analysis,10.48550/arxiv.2205.02847,2022,LA
Leveraging Labeling Representations in Uncertainty-based Semi-supervised  Segmentation,10.48550/arxiv.2203.05682,2022,LA
Dual-Task Mutual Learning for Semi-Supervised Medical Image Segmentation,10.48550/arxiv.2103.04708,2021,LA
NeRD: Neural Representation of Distribution for Medical Image  Segmentation,10.48550/arxiv.2103.04020,2021,LA
Semi-supervised Left Atrium Segmentation with Mutual Consistency  Training,10.48550/arxiv.2103.02911,2021,LA
DTSC-Net: Semi-supervised 3D Biomedical Image Segmentation through Dual-Teacher Simplified Consistency,10.1109/bibm55620.2022.9995371,2022,LA
Gabor Filter-Embedded U-Net with Transformer-Based Encoding for Biomedical Image Segmentation,10.1007/978-3-031-18814-5_8,2022,LA
Semi-Supervised 3D Medical Image Segmentation Using Shape-Guided Dual Consistency Learning,10.1109/icme52920.2022.9859611,2022,LA
Dual-Task Mutual Learning for Semi-supervised Medical Image Segmentation,10.1007/978-3-030-88010-1_46,2021,LA
FUSSNet: Fusing Two Sources of Uncertainty for Semi-supervised Medical Image Segmentation,10.1007/978-3-031-16452-1_46,2022,LA
Leveraging Labeling Representations in Uncertainty-Based Semi-supervised Segmentation,10.1007/978-3-031-16452-1_26,2022,LA
Decoupling Predictions in Distributed Learning for Multi-center Left Atrial MRI Segmentation,10.1007/978-3-031-16431-6_49,2022,LA
Exploring Smoothness and Class-Separation for Semi-supervised Medical  Image Segmentation,10.48550/arxiv.2203.01324,2022,LA
An atrium segmentation network with location guidance and siamese  adjustment,10.48550/arxiv.2301.04401,2023,LA
Combining edge guidance and feature pyramid for medical image segmentation,10.1016/j.bspc.2022.103960,2022,LA
Semi-supervised Medical Image Segmentation via Geometry-aware  Consistency Training,10.48550/arxiv.2202.06104,2022,LA
Left atrium MRI image segmentation using efficient Xception stochastic depth based generative adversarial network,10.1080/20479700.2023.2166206,2023,LA
DC-net: Dual-Consistency semi-supervised learning for 3D left atrium segmentation from MRI,10.1016/j.bspc.2022.103870,2022,LA
Complementary consistency semi-supervised learning for 3D left atrial  image segmentation,10.48550/arxiv.2210.01438,2022,LA
Recent Advances in Fibrosis and Scar Segmentation from Cardiac MRI: A  State-of-the-Art Review and Future Perspectives,10.48550/arxiv.2106.15707,2021,LA
Comprehensive information integration network for left atrium segmentation on LGE CMR images,10.1016/j.bspc.2022.104537,2023,LA
Uncertainty-guided mutual consistency learning for semi-supervised medical image segmentation,10.1016/j.artmed.2022.102476,2023,LA
RCPS: Rectified Contrastive Pseudo Supervision for Semi-Supervised  Medical Image Segmentation,10.48550/arxiv.2301.05500,2023,LA
Uncertainty-Guided Mutual Consistency Learning for Semi-Supervised  Medical Image Segmentation,10.48550/arxiv.2112.02508,2021,LA
Uncertainty-aware pseudo-label and consistency for semi-supervised medical image segmentation,10.1016/j.bspc.2022.104203,2023,LA
An objective measure for assessing the quality of contrast enhancement on magnetic resonance images,10.1016/j.jksuci.2021.12.005,2022,LA
Mutual Consistency Learning for Semi-supervised Medical Image  Segmentation,10.48550/arxiv.2109.09960,2021,LA
TMS-Net: A Segmentation Network Coupled With A Run-time Quality Control  Method For Robust Cardiac Image Segmentation,10.48550/arxiv.2212.10877,2022,LA
JAS-GAN: Generative Adversarial Network Based Joint Atrium and Scar  Segmentations on Unbalanced Atrial Targets,10.48550/arxiv.2105.00234,2021,LA
MyoPS: A Benchmark of Myocardial Pathology Segmentation Combining  Three-Sequence Cardiac Magnetic Resonance Images,10.48550/arxiv.2201.03186,2022,LA
Medical Image Segmentation with 3D Convolutional Neural Networks: A  Survey,10.48550/arxiv.2108.08467,2021,LA
Medical image analysis based on transformer: A Review,10.48550/arxiv.2208.06643,2022,LA
Medical image segmentation with 3D convolutional neural networks: A survey,10.1016/j.neucom.2022.04.065,2022,LA
Comparative Validation of Machine Learning Algorithms for Surgical  Workflow and Skill Analysis with the HeiChole Benchmark,10.48550/arxiv.2109.14956,2021,LA
3D Brain and Heart Volume Generative Models: A Survey,10.48550/arxiv.2210.05952,2022,LA
A Systematic Collection of Medical Image Datasets for Deep Learning,10.48550/arxiv.2106.12864,2021,LA
Medical Image Analysis on Left Atrial LGE MRI for Atrial Fibrillation  Studies: A Review,10.48550/arxiv.2106.09862,2021,LA
Multiscale Multimodal Medical Imaging Third International Workshop MMMI 2022 Held in Conjunction with MICCAI 2022 Singapore September 22 2022 Proceedings,10.1007/978-3-031-18814-5,2022,LA
Medical Image Computing and Computer Assisted Intervention – MICCAI 2021 24th International Conference Strasbourg France September 27–October 1 2021 Proceedings Part II,10.1007/978-3-030-87196-3,2021,LA
Machine Learning in Medical Imaging 13th International Workshop MLMI 2022 Held in Conjunction with MICCAI 2022 Singapore September 18 2022 Proceedings,10.1007/978-3-031-21014-3,2022,LA
Pattern Recognition and Computer Vision 4th Chinese Conference PRCV 2021 Beijing China October 29 – November 1 2021 Proceedings Part III,10.1007/978-3-030-88010-1,2021,LA
Medical Image Computing and Computer Assisted Intervention – MICCAI 2021 24th International Conference Strasbourg France September 27–October 1 2021 Proceedings Part VI,10.1007/978-3-030-87231-1,2021,LA
Medical Image Computing and Computer Assisted Intervention – MICCAI 2022 25th International Conference Singapore September 18–22 2022 Proceedings Part V,10.1007/978-3-031-16443-9,2022,LA
Medical Image Computing and Computer Assisted Intervention – MICCAI 2022 25th International Conference Singapore September 18–22 2022 Proceedings Part I,10.1007/978-3-031-16431-6,2022,LA
Reducing the Hausdorff Distance in Medical Image Segmentation With Convolutional Neural Networks,10.1109/tmi.2019.2930068,2019,Medical Decathlon
Automated pancreas segmentation from computed tomography and magnetic resonance images: A systematic review,10.1016/j.cmpb.2019.07.002,2019,Medical Decathlon
Nested Dilation Networks for Brain Tumor Segmentation Based on Magnetic Resonance Imaging,10.3389/fnins.2019.00285,2019,Medical Decathlon
Automated Brain Tumor Segmentation Using Multimodal Brain Scans: A Survey Based on Models Submitted to the BraTS 20122018 Challenges,10.1109/rbme.2019.2946868,2019,Medical Decathlon
Abstract: nnU-Net: Self-adapting Framework for U-Net-Based Medical Image Segmentation,10.1007/978-3-658-25326-4_7,2019,Medical Decathlon
nnU-Net: Self-adapting Framework for U-Net-Based Medical Image  Segmentation,10.48550/arxiv.1809.10486,2018,Medical Decathlon
Automated Design of Deep Learning Methods for Biomedical Image  Segmentation,10.48550/arxiv.1904.08128,2019,Medical Decathlon
One Network to Segment Them All: A General Lightweight System for  Accurate 3D Medical Image Segmentation,10.48550/arxiv.1911.01764,2019,Medical Decathlon
Automatic Couinaud Segmentation from CT Volumes on Liver Using GLC-UNet,10.1007/978-3-030-32692-0_32,2019,Medical Decathlon
V-NAS: Neural Architecture Search for Volumetric Medical Image  Segmentation,10.48550/arxiv.1906.02817,2019,Medical Decathlon
V-NAS: Neural Architecture Search for Volumetric Medical Image Segmentation,10.1109/3dv.2019.00035,2019,Medical Decathlon
A large annotated medical image dataset for the development and  evaluation of segmentation algorithms,10.48550/arxiv.1902.09063,2019,Medical Decathlon
Uncertainty-based graph convolutional networks for organ segmentation  refinement,10.48550/arxiv.1906.02191,2019,Medical Decathlon
Resource Optimized Neural Architecture Search for 3D Medical Image  Segmentation,10.48550/arxiv.1909.00548,2019,Medical Decathlon
Resource Optimized Neural Architecture Search for 3D Medical Image Segmentation,10.1007/978-3-030-32245-8_26,2019,Medical Decathlon
3D Semi-Supervised Learning with Uncertainty-Aware Multi-View  Co-Training,10.48550/arxiv.1811.12506,2018,Medical Decathlon
Automatic Detection and Segmentation of Lung Lesions using Deep Residual CNNs,10.1109/bibe.2019.00182,2019,Medical Decathlon
Dilated deeply supervised networks for hippocampus segmentation in MRI,10.48550/arxiv.1903.09097,2019,Medical Decathlon
Dilated Deeply Supervised Networks for Hippocampus Segmentation in MRI,10.1007/978-3-658-25326-4_18,2019,Medical Decathlon
Interactive segmentation of medical images through fully convolutional  neural networks,10.48550/arxiv.1903.08205,2019,Medical Decathlon
Voxel2Mesh: 3D Mesh Model Generation from Volumetric Data,10.48550/arxiv.1912.03681,2019,Medical Decathlon
A Study on Heart Segmentation Using Deep Learning Algorithm for MRI Scans,10.1109/macs48846.2019.9024793,2019,Medical Decathlon
Heart Segmentation From MRI Scans Using Convolutional Neural Network,10.48550/arxiv.1911.09332,2019,Medical Decathlon
Weakly supervised segmentation from extreme points,10.48550/arxiv.1910.01236,2019,Medical Decathlon
Scalable Neural Architecture Search for 3D Medical Image Segmentation,10.48550/arxiv.1906.05956,2019,Medical Decathlon
Accurate Segmentation of Dental Panoramic Radiographs with U-NETS,10.1109/isbi.2019.8759563,2019,Medical Decathlon
Scalable Neural Architecture Search for 3D Medical Image Segmentation,10.1007/978-3-030-32248-9_25,2019,Medical Decathlon
One Network to Segment Them All: A General Lightweight System for Accurate 3D Medical Image Segmentation,10.1007/978-3-030-32245-8_4,2019,Medical Decathlon
3D U$^2$-Net: A 3D Universal U-Net for Multi-Domain Medical Image  Segmentation,10.48550/arxiv.1909.06012,2019,Medical Decathlon
3D U2-Net: A 3D Universal U-Net for Multi-domain Medical Image Segmentation,10.1007/978-3-030-32245-8_33,2019,Medical Decathlon
Deep Co-Training for Semi-Supervised Image Segmentation,10.48550/arxiv.1903.11233,2019,Medical Decathlon
No New-Net,10.1007/978-3-030-11726-9_21,2019,Medical Decathlon
No New-Net,10.48550/arxiv.1809.10483,2018,Medical Decathlon
Reducing the Hausdorff Distance in Medical Image Segmentation with  Convolutional Neural Networks,10.48550/arxiv.1904.10030,2019,Medical Decathlon
NeurReg: Neural Registration and Its Application to Image Segmentation,10.48550/arxiv.1910.01763,2019,Medical Decathlon
Simultaneous lesion and neuroanatomy segmentation in Multiple Sclerosis  using deep neural networks,10.48550/arxiv.1901.07419,2019,Medical Decathlon
Thickened 2D Networks for Efficient 3D Medical Image Segmentation,10.48550/arxiv.1904.01150,2019,Medical Decathlon
Methods and open-source toolkit for analyzing and visualizing challenge  results,10.48550/arxiv.1910.05121,2019,Medical Decathlon
Elastic Boundary Projection for 3D Medical Image Segmentation,10.1109/cvpr.2019.00221,2019,Medical Decathlon
Elastic Boundary Projection for 3D Medical Image Segmentation,10.48550/arxiv.1812.00518,2018,Medical Decathlon
PILOT: Physics-Informed Learned Optimized Trajectories for Accelerated  MRI,10.48550/arxiv.1909.05773,2019,Medical Decathlon
Multi-scale self-guided attention for medical image segmentation,10.48550/arxiv.1906.02849,2019,Medical Decathlon
Multimodal Self-Supervised Learning for Medical Image Analysis,10.48550/arxiv.1912.05396,2019,Medical Decathlon
Deep Semantic Segmentation of Natural and Medical Images: A Review,10.48550/arxiv.1910.07655,2019,Medical Decathlon
Bildverarbeitung für die Medizin 2019 Algorithmen – Systeme – Anwendungen. Proceedings des Workshops vom 17. bis 19. März 2019 in Lübeck,10.1007/978-3-658-25326-4,2019,Medical Decathlon
Medical Image Computing and Computer Assisted Intervention – MICCAI 2019 22nd International Conference Shenzhen China October 13–17 2019 Proceedings Part II,10.1007/978-3-030-32245-8,2019,Medical Decathlon
Machine Learning in Medical Imaging 10th International Workshop MLMI 2019 Held in Conjunction with MICCAI 2019 Shenzhen China October 13 2019 Proceedings,10.1007/978-3-030-32692-0,2019,Medical Decathlon
Brainlesion: Glioma Multiple Sclerosis Stroke and Traumatic Brain Injuries 4th International Workshop BrainLes 2018 Held in Conjunction with MICCAI 2018 Granada Spain September 16 2018 Revised Selected Papers Part II,10.1007/978-3-030-11726-9,2019,Medical Decathlon
Medical Image Computing and Computer Assisted Intervention – MICCAI 2019 22nd International Conference Shenzhen China October 13–17 2019 Proceedings Part III,10.1007/978-3-030-32248-9,2019,Medical Decathlon
SDA-UNet: a hepatic vein segmentation network based on the spatial distribution and density awareness of blood vessels,10.1088/1361-6560/acb199,2023,Medical Decathlon
Evaluation of a Deep Learning Algorithm for Automated Spleen Segmentation in Patients with Conditions Directly or Indirectly Affecting the Spleen,10.3390/tomography7040078,None,Medical Decathlon
Dynamic Linear Transformer for 3D Biomedical Image Segmentation,10.1007/978-3-031-21014-3_18,2022,Medical Decathlon
Domain Adaptation for Medical Image Segmentation: A Meta-Learning Method,10.3390/jimaging7020031,2021,Medical Decathlon
The Medical Segmentation Decathlon,10.1038/s41467-022-30695-9,2022,Medical Decathlon
Prostate158 - An expert-annotated 3T MRI dataset and algorithm for prostate cancer detection,10.1016/j.compbiomed.2022.105817,None,Medical Decathlon
SD-UNet: Stripping down U-Net for Segmentation of Biomedical Images on Platforms with Low Computational Budgets,10.3390/diagnostics10020110,2020,Medical Decathlon
Distance-based detection of out-of-distribution silent failures for Covid-19 lung lesion segmentation,10.1016/j.media.2022.102596,2022,Medical Decathlon
Methods and open-source toolkit for analyzing and visualizing challenge results,10.1038/s41598-021-82017-6,2021,Medical Decathlon
Medical imaging deep learning with differential privacy,10.1038/s41598-021-93030-0,2021,Medical Decathlon
Benchmarking of Deep Architectures for Segmentation of Medical Images,10.1109/tmi.2022.3180435,2022,Medical Decathlon
Deep learning to distinguish pancreatic cancer tissue from non-cancerous pancreatic tissue: a retrospective study with cross-racial external validation,10.1016/s2589-7500(20)30078-9,2020,Medical Decathlon
Discriminative Feature Network Based on a Hierarchical Attention Mechanism for Semantic Hippocampus Segmentation,10.1109/jbhi.2020.2994114,2021,Medical Decathlon
A medical image segmentation method based on multi-dimensional statistical features,10.3389/fnins.2022.1009581,2022,Medical Decathlon
Exploiting the Dixon Method for a Robust Breast and Fibro-Glandular Tissue Segmentation in Breast MRI,10.3390/diagnostics12071690,2022,Medical Decathlon
TMD-Unet: Triple-Unet with Multi-Scale Input Features and Dense Skip Connection for Medical Image Segmentation,10.3390/healthcare9010054,2021,Medical Decathlon
Visual ensemble selection of deep convolutional neural networks for 3D segmentation of breast tumors on dynamic contrast enhanced MRI,10.1007/s00330-022-09113-7,2022,Medical Decathlon
Uncertainty-aware multi-view co-training for semi-supervised medical image segmentation and domain adaptation,10.1016/j.media.2020.101766,None,Medical Decathlon
EMONAS-Net: Efficient multiobjective neural architecture search using surrogate-assisted evolutionary algorithm for 3D medical image segmentation,10.1016/j.artmed.2021.102154,2021,Medical Decathlon
Fully-automated functional region annotation of liver via a 2.5D class-aware deep neural network with spatial adaptation,10.1016/j.cmpb.2020.105818,2020,Medical Decathlon
Toward automated interpretable AAST grading for blunt splenic injury,10.1007/s10140-022-02099-1,2022,Medical Decathlon
Towards bi-directional skip connections in encoder-decoder architectures and beyond,10.1016/j.media.2022.102420,2022,Medical Decathlon
Semantic segmentation of multispectral photoacoustic images using deep learning,10.1016/j.pacs.2022.100341,2022,Medical Decathlon
Multiorgan segmentation from partially labeled datasets with conditional nnU-Net,10.1016/j.compbiomed.2021.104658,2021,Medical Decathlon
Unified generative adversarial networks for multimodal segmentation from unpaired 3D medical images,10.1016/j.media.2020.101731,2020,Medical Decathlon
Medical Augmentation (Med-Aug) for Optimal Data Augmentation in Medical Deep Learning Networks,10.3390/s21217018,2021,Medical Decathlon
Automatic Segmentation of Metastatic Breast Cancer Lesions on 18F-FDG PET/CT Longitudinal Acquisitions for Treatment Response Assessment,10.3390/cancers14010101,2021,Medical Decathlon
AADG: Automatic Augmentation for Domain Generalization on Retinal Image Segmentation,10.1109/tmi.2022.3193146,2022,Medical Decathlon
Uncertainty teacher with dense focal loss for semi-supervised medical image segmentation,10.1016/j.compbiomed.2022.106034,2022,Medical Decathlon
Uncertainty-aware deep co-training for semi-supervised medical image segmentation,10.1016/j.compbiomed.2022.106051,2022,Medical Decathlon
Artificial intelligence for prostate MRI: open datasets available applications and grand challenges,10.1186/s41747-022-00288-8,None,Medical Decathlon
Artificial intelligence with deep learning in nuclear medicine and radiology,10.1186/s40658-021-00426-y,2021,Medical Decathlon
A Comparative Study on the Potential of Unsupervised Deep Learning-based Feature Selection in Radiomics**This work was not supported by any organization,10.1109/embc48229.2022.9871257,None,Medical Decathlon
DFTNet: Dual-Path Feature Transfer Network for Weakly Supervised Medical Image Segmentation,10.1109/tcbb.2022.3198284,2022,Medical Decathlon
ClinicaDL: An open-source deep learning software for reproducible neuroimaging processing,10.1016/j.cmpb.2022.106818,2022,Medical Decathlon
AX-Unet: A Deep Learning Framework for Image Segmentation to Assist Pancreatic Tumor Diagnosis,10.3389/fonc.2022.894970,2022,Medical Decathlon
Semantic Segmentation of Spontaneous Intracerebral Hemorrhage Intraventricular Hemorrhage and Associated Edema on CT Images Using Deep Learning,10.1148/ryai.220096,2022,Medical Decathlon
A novel 2-phase residual U-net algorithm combined with optimal mass transportation for 3D brain tumor detection and segmentation,10.1038/s41598-022-10285-x,2022,Medical Decathlon
nnU-Net: a self-configuring method for deep learning-based biomedical image segmentation,10.1038/s41592-020-01008-z,2020,Medical Decathlon
Multiscale unsupervised domain adaptation for automatic pancreas segmentation in CT volumes using adversarial learning,10.1002/mp.15827,2022,Medical Decathlon
Efficient high-performance semantic segmentation using multi-scale feature extraction,10.1371/journal.pone.0255397,2021,Medical Decathlon
Detection of Pancreatic Cancer in CT Scan Images Using PSO SVM and Image Processing,10.1155/2022/8544337,2022,Medical Decathlon
Learn2Reg: comprehensive multi-task medical image registration challenge dataset and evaluation in the era of deep learning,10.1109/tmi.2022.3213983,2022,Medical Decathlon
Enhancing MR image segmentation with realistic adversarial data augmentation,10.1016/j.media.2022.102597,2022,Medical Decathlon
Mixture 2D Convolutions for 3D Medical Image Segmentation,10.1142/s0129065722500599,2022,Medical Decathlon
Liver tumor detection based on objects as points,10.1088/1361-6560/ac35c7,2021,Medical Decathlon
Generating novel pituitary datasets from open-source imaging data and deep volumetric segmentation,10.1007/s11102-022-01255-7,None,Medical Decathlon
Interactive contouring through contextual deep learning,10.1002/mp.14852,2021,Medical Decathlon
Multi‐eXpert fusion: An ensemble learning framework to segment 3D TRUS prostate images,10.1002/mp.15679,2022,Medical Decathlon
Application of deep learning for automatic segmentation of brain tumors on magnetic resonance imaging: a heuristic approach in the clinical scenario,10.1007/s00234-021-02649-3,2021,Medical Decathlon
Convolutional neural network for the detection of pancreatic cancer on CT scans – Authors' reply,10.1016/s2589-7500(20)30188-6,2020,Medical Decathlon
Survey of Supervised Learning for Medical Image Processing,10.1007/s42979-022-01166-1,2022,Medical Decathlon
Pancreatic Cancer Detection on CT Scans with Deep Learning: A Nationwide Population-based Study,10.1148/radiol.220152,2022,Medical Decathlon
Stacked dilated convolutions and asymmetric architecture for U-Net-based medical image segmentation,10.1016/j.compbiomed.2022.105891,2022,Medical Decathlon
Development and Validation of a Deep Learning Algorithm to Differentiate Colon Carcinoma From Acute Diverticulitis in Computed Tomography Images,10.1001/jamanetworkopen.2022.53370,2023,Medical Decathlon
Fully Automatic Deep Learning Framework for Pancreatic Ductal Adenocarcinoma Detection on Computed Tomography,10.3390/cancers14020376,2022,Medical Decathlon
Comparative validation of multi-instance instrument segmentation in endoscopy: Results of the ROBUST-MIS 2019 challenge,10.1016/j.media.2020.101920,2020,Medical Decathlon
Radiomics for Detection of Pancreas Adenocarcinoma on CT Scans: Impact of Biliary Stents,10.1148/rycan.210081,2022,Medical Decathlon
Deep learning for pancreatic cancer detection: current challenges and future strategies,10.1016/s2589-7500(20)30105-9,2020,Medical Decathlon
Quality gaps in public pancreas imaging datasets: Implications & challenges for AI applications,10.1016/j.pan.2021.03.016,None,Medical Decathlon
Automatic segmentation of organs at risk and tumors in CT images of lung cancer from partially labelled datasets with a semi-supervised conditional nnU-Net,10.1016/j.cmpb.2021.106419,2021,Medical Decathlon
Deep Learning–based Detection of Solid and Cystic Pancreatic Neoplasms at Contrast-enhanced CT,10.1148/radiol.220171,2022,Medical Decathlon
WVALE: Weak variational autoencoder for localisation and enhancement of COVID-19 lung infections,10.1016/j.cmpb.2022.106883,2022,Medical Decathlon
Simultaneous lesion and brain segmentation in multiple sclerosis using deep neural networks,10.1038/s41598-020-79925-4,2021,Medical Decathlon
MedMNIST v2 - A large-scale lightweight benchmark for 2D and 3D biomedical image classification,10.1038/s41597-022-01721-8,2023,Medical Decathlon
Deep supervision and atrous inception-based U-Net combining CRF for automatic liver segmentation from CT,10.1038/s41598-022-21562-0,2022,Medical Decathlon
Uncertainty‐guided symmetric multilevel supervision network for 3D left atrium segmentation in late gadolinium‐enhanced MRI,10.1002/mp.15670,None,Medical Decathlon
Efficient contour-based annotation by iterative deep learning for organ segmentation from volumetric medical images,10.1007/s11548-022-02730-z,2022,Medical Decathlon
A lightweight neural network with multiscale feature enhancement for liver CT segmentation,10.1038/s41598-022-16828-6,2022,Medical Decathlon
A state-of-the-art technique to perform cloud-based semantic segmentation using deep learning 3D U-Net architecture,10.1186/s12859-022-04794-9,2022,Medical Decathlon
Medical Images Segmentation for Lung Cancer Diagnosis Based on Deep Learning Architectures,10.3390/diagnostics13030546,2023,Medical Decathlon
Convolutional bi-directional learning and spatial enhanced attentions for lung tumor segmentation,10.1016/j.cmpb.2022.107147,2022,Medical Decathlon
Multi-Scale Self-Guided Attention for Medical Image Segmentation,10.1109/jbhi.2020.2986926,2021,Medical Decathlon
nn-TransUNet: An Automatic Deep Learning Pipeline for Heart MRI Segmentation,10.3390/life12101570,2022,Medical Decathlon
MsVRL: Self-Supervised Multiscale Visual Representation Learning via Cross-Level Consistency for Medical Image Segmentation,10.1109/tmi.2022.3204551,2022,Medical Decathlon
A Deep Learning-Based and Fully Automated Pipeline for Thoracic Aorta Geometric Analysis and Planning for Endovascular Repair from Computed Tomography,10.1007/s10278-021-00535-1,2022,Medical Decathlon
Dual-task ultrasound spine transverse vertebrae segmentation network with contour regularization,10.1016/j.compmedimag.2021.101896,2021,Medical Decathlon
Automated volumetric assessment with artificial neural networks might enable a more accurate assessment of disease burden in patients with multiple sclerosis,10.1007/s00330-019-06593-y,2020,Medical Decathlon
Self-supervised contrastive learning with random walks for medical image segmentation with limited annotations,10.1016/j.compmedimag.2022.102174,2023,Medical Decathlon
CCS-Net: Cascade Detection Network With the Convolution Kernel Switch Block and Statistics Optimal Anchors Block in Hypopharyngeal Cancer MRI,10.1109/jbhi.2022.3217174,2022,Medical Decathlon
A deep learning framework for pancreas segmentation with multi-atlas registration and 3D level-set,10.1016/j.media.2020.101884,2020,Medical Decathlon
A Fusion Biopsy Framework for Prostate Cancer Based on Deformable Superellipses and nnU-Net,10.3390/bioengineering9080343,2022,Medical Decathlon
Medical Image Segmentation Using Transformer Networks,10.1109/access.2022.3156894,2022,Medical Decathlon
Spherical coordinates transformation pre-processing in Deep Convolution Neural Networks for brain tumor segmentation in MRI,10.1007/s11517-021-02464-1,2021,Medical Decathlon
Does non-COVID-19 lung lesion help? investigating transferability in COVID-19 CT image segmentation,10.1016/j.cmpb.2021.106004,2021,Medical Decathlon
A Light Deep Learning Algorithm for CT Diagnosis of COVID-19 Pneumonia,10.3390/diagnostics12071527,2022,Medical Decathlon
Deep learning empowered volume delineation of whole-body organs-at-risk for accelerated radiotherapy,10.1038/s41467-022-34257-x,2022,Medical Decathlon
Deep Learning in Medical Image Analysis,10.3390/jimaging7040074,2021,Medical Decathlon
FCSN: Global Context Aware Segmentation by Learning the Fourier Coefficients of Objects in Medical Images,10.1109/jbhi.2022.3225205,2022,Medical Decathlon
A dual meta-learning framework based on idle data for enhancing segmentation of pancreatic cancer,10.1016/j.media.2021.102342,2022,Medical Decathlon
