name,DOI,publication_year,dataset_used
Survey on Deep Neural Networks in Speech and Vision Systems,10.1016/j.neucom.2020.07.053,2020,ACDC
Semi-supervised and Task-Driven Data Augmentation,10.1007/978-3-030-20351-1_3,2019,ACDC
Self-Supervised Learning for Cardiac MR Image Segmentation by Anatomical Position Prediction,10.1007/978-3-030-32245-8_60,2019,ACDC
A global benchmark of algorithms for segmenting the left atrium from late gadolinium-enhanced cardiac magnetic resonance imaging,10.1016/j.media.2020.101832,2021,ACDC
A learning-based automatic segmentation and quantification method on left ventricle in gated myocardial perfusion SPECT imaging: A feasibility study,10.1007/s12350-019-01594-2,2020,ACDC
Semi-supervised Left Atrium Segmentation with Mutual Consistency Training,10.1007/978-3-030-87196-3_28,2021,LA
Recent Advances in Fibrosis and Scar Segmentation From Cardiac MRI: A State-of-the-Art Review and Future Perspectives,10.3389/fphys.2021.709230,2021,LA
Impact of left atrial appendage location on risk of thrombus formation in patients with atrial fibrillation,10.1007/s10237-021-01454-4,2021,LA
Electrocardiographic Imaging for Atrial Fibrillation: A Perspective From Computer Models and Animal Experiments to Clinical Value,10.3389/fphys.2021.653013,2021,LA
Adaptive Hierarchical Dual Consistency for Semi-Supervised Left Atrium Segmentation on Cross-Domain Data,10.1109/tmi.2021.3113678,2022,LA
Toward Patient-Specific Prediction of Ablation Strategies for Atrial Fibrillation Using Deep Learning,10.3389/fphys.2021.674106,2021,LA
Hierarchical Consistency Regularized Mean Teacher for Semi-supervised 3D Left Atrium Segmentation,10.1109/embc46164.2021.9629941,2021,LA
Mutual consistency learning for semi-supervised medical image segmentation,10.1016/j.media.2022.102530,2022,LA
Dual-Task Mutual Learning for Semi-supervised Medical Image Segmentation,10.1007/978-3-030-88010-1_46,2021,LA
AtrialJSQnet: A New framework for joint segmentation and quantification of left atrium and scars incorporating spatial and shape information,10.1016/j.media.2021.102303,2022,LA
Medical image segmentation with 3D convolutional neural networks: A survey,10.1016/j.neucom.2022.04.065,2022,LA
Reciprocal Learning for Semi-supervised Segmentation,10.1007/978-3-030-87196-3_33,2021,LA
Deep learning-based automatic segmentation of images in cardiac radiography: A promising challenge,10.1016/j.cmpb.2022.106821,2022,LA
Whole‐Heart <scp>High‐Resolution</scp> Late Gadolinium Enhancement: Techniques and Clinical Applications,10.1002/jmri.27732,2022,LA
Deep learning methods for automatic evaluation of delayed enhancement-MRI. The results of the EMIDEC challenge,10.1016/j.media.2022.102428,2022,LA
Challenges in ensuring the generalizability of image quantitation methods for MRI,10.1002/mp.15195,2022,LA
Uncertainty-Guided Voxel-Level Supervised Contrastive Learning for Semi-Supervised Medical Image Segmentation,10.1142/s0129065722500162,2022,LA
Medical image analysis on left atrial LGE MRI for atrial fibrillation studies: A review,10.1016/j.media.2022.102360,2022,LA
Multiresolution Aggregation Transformer UNet Based on Multiscale Input and Coordinate Attention for Medical Image Segmentation,10.3390/s22103820,2022,LA
Performance Comparison of Deep Learning Approaches for Left Atrium Segmentation from LGE-MRI Data,10.22489/cinc.2020.306,2020,LA
Semi-supervised Left Atrium Segmentation with Mutual Consistency  Training,10.48550/arxiv.2103.02911,2021,LA
AtrialGeneral: Domain Generalization for Left Atrial Segmentation of  Multi-Center LGE MRIs,10.48550/arxiv.2106.08727,2021,LA
Medical Image Analysis on Left Atrial LGE MRI for Atrial Fibrillation  Studies: A Review,10.48550/arxiv.2106.09862,2021,LA
Understanding PITX2-Dependent Atrial Fibrillation Mechanisms through Computational Models,10.3390/ijms22147681,2021,LA
Reinforcement Learning to Improve Image-Guidance of Ablation Therapy for Atrial Fibrillation,10.3389/fphys.2021.733139,2021,LA
V-Net: Fully Convolutional Neural Networks for Volumetric Medical Image Segmentation,10.1109/3dv.2016.79,2016,PROMISE12
Metrics for evaluating 3D medical image segmentation: analysis selection and tool,10.1186/s12880-015-0068-x,2015,PROMISE12
nnU-Net: a self-configuring method for deep learning-based biomedical image segmentation,10.1038/s41592-020-01008-z,2021,PROMISE12
ISLES 2015 - A public evaluation benchmark for ischemic stroke lesion segmentation from multispectral MRI,10.1016/j.media.2016.07.009,2017,PROMISE12
Deep learning for image-based cancer detection and diagnosis − A survey,10.1016/j.patcog.2018.05.014,2018,PROMISE12
NAS-Unet: Neural Architecture Search for Medical Image Segmentation,10.1109/access.2019.2908991,2019,PROMISE12
Reducing the Hausdorff Distance in Medical Image Segmentation With Convolutional Neural Networks,10.1109/tmi.2019.2930068,2020,PROMISE12
A new era: artificial intelligence and machine learning in prostate cancer,10.1038/s41585-019-0193-3,2019,PROMISE12
Cancer Diagnosis Using Deep Learning: A Bibliographic Review,10.3390/cancers11091235,2019,PROMISE12
Computer-Aided Detection and diagnosis for prostate cancer based on mono and multi-parametric MRI: A review,10.1016/j.compbiomed.2015.02.009,2015,PROMISE12
Why rankings of biomedical image analysis competitions should be interpreted with care,10.1038/s41467-018-07619-7,2018,PROMISE12
Generalizing Deep Learning for Medical Image Segmentation to Unseen Domains via Deep Stacked Transformation,10.1109/tmi.2020.2973595,2020,PROMISE12
Cloud-Based Evaluation of Anatomical Structure Segmentation and Landmark Detection Algorithms: VISCERAL Anatomy Benchmarks,10.1109/tmi.2016.2578680,2016,PROMISE12
Deeply supervised 3D fully convolutional networks with group dilated convolution for automatic<scp>MRI</scp>prostate segmentation,10.1002/mp.13416,2019,PROMISE12
Superpixel-Based Segmentation for 3D Prostate MR Images,10.1109/tmi.2015.2496296,2016,PROMISE12
MS-Net: Multi-Site Network for Improving Prostate Segmentation With Heterogeneous MRI Data,10.1109/tmi.2020.2974574,2020,PROMISE12
A survey on U-shaped networks in medical image segmentations,10.1016/j.neucom.2020.05.070,2020,PROMISE12
Confidence Calibration and Predictive Uncertainty Estimation for Deep Medical Image Segmentation,10.1109/tmi.2020.3006437,2020,PROMISE12
Deep Attentive Features for Prostate Segmentation in 3D Transrectal Ultrasound,10.1109/tmi.2019.2913184,2019,PROMISE12
Computer Aided-Diagnosis of Prostate Cancer on Multiparametric MRI: A Technical Review of Current Research,10.1155/2014/789561,2014,PROMISE12
PROSTATEx Challenges for computerized classification of prostate lesions from multiparametric magnetic resonance images,10.1117/1.jmi.5.4.044501,2018,PROMISE12
Multiparametric MRI and radiomics in prostate cancer: a review,10.1007/s13246-019-00730-z,2019,PROMISE12
PSNet: prostate segmentation on MRI based on a convolutional neural network,10.1117/1.jmi.5.2.021208,2018,PROMISE12
Atlas registration and ensemble deep convolutional neural network-based prostate segmentation using magnetic resonance imaging,10.1016/j.neucom.2017.09.084,2018,PROMISE12
UTNet: A Hybrid Transformer Architecture for Medical Image Segmentation,10.1007/978-3-030-87199-4_6,2021,M&Ms
The Medical Segmentation Decathlon,10.1038/s41467-022-30695-9,2021,M&Ms
Transparency of deep neural networks for medical image analysis: A review of interpretability methods,10.1016/j.compbiomed.2021.105111,2021,M&Ms
Multi-Site Infant Brain Segmentation Algorithms: The iSeg-2019 Challenge,10.1109/tmi.2021.3055428,2020,M&Ms
Semi-supervised Meta-learning with Disentanglement for Domain-Generalised Medical Image Segmentation,10.1007/978-3-030-87196-3_29,2021,M&Ms
Adaptive Hierarchical Dual Consistency for Semi-Supervised Left Atrium Segmentation on Cross-Domain Data,10.1109/tmi.2021.3113678,2022,M&Ms
Learning disentangled representations in the imaging domain,10.1016/j.media.2022.102516,2021,M&Ms
Artificial intelligence with deep learning in nuclear medicine and radiology,10.1186/s40658-021-00426-y,2021,M&Ms
Federated learning for multi-center imaging diagnostics: a simulation study in cardiovascular disease,10.1038/s41598-022-07186-4,2022,M&Ms
AtrialJSQnet: A New framework for joint segmentation and quantification of left atrium and scars incorporating spatial and shape information,10.1016/j.media.2021.102303,2022,M&Ms
Cascaded Triplanar Autoencoder M-Net for Fully Automatic Segmentation of Left Ventricle Myocardial Scar From Three-Dimensional Late Gadolinium-Enhanced MR Images,10.1109/jbhi.2022.3146013,2022,M&Ms
Assessment of right ventricular size and function from cardiovascular magnetic resonance images using artificial intelligence,10.1186/s12968-022-00861-5,2022,M&Ms
Transformers in Medical Image Analysis: A Review,10.1016/j.imed.2022.07.002,2022,M&Ms
Radiomics-Based Classification of Left Ventricular Non-compaction Hypertrophic Cardiomyopathy and Dilated Cardiomyopathy in Cardiovascular Magnetic Resonance,10.3389/fcvm.2021.764312,2021,M&Ms
Refined Deep Layer Aggregation for Multi-Disease Multi-View &amp; Multi-Center Cardiac MR Segmentation,10.1007/978-3-030-93722-5_34,2022,M&Ms
Medical image analysis on left atrial LGE MRI for atrial fibrillation studies: A review,10.1016/j.media.2022.102360,2022,M&Ms
MH-Net: Model-data-driven hybrid-fusion network for medical image segmentation,10.1016/j.knosys.2022.108795,2022,M&Ms
From Accuracy to Reliability and Robustness in Cardiac Magnetic Resonance Image Segmentation: A Review,10.3390/app12083936,2022,M&Ms
Collaborative boundary-aware context encoding networks for error map prediction,10.1016/j.patcog.2021.108515,2021,M&Ms
Using MRI-specific Data Augmentation to Enhance the Segmentation of Right Ventricle in Multi-disease Multi-center and Multi-view Cardiac MRI,10.1007/978-3-030-93722-5_27,2022,M&Ms
Late Fusion U-Net with GAN-Based Augmentation for Generalizable Cardiac MRI Segmentation,10.1007/978-3-030-93722-5_39,2022,M&Ms
Cardiac MR: From Theory to Practice,10.3389/fcvm.2022.826283,2022,M&Ms
Towards reliable cardiac image segmentation: Assessing image-level and pixel-level segmentation quality via self-reflective references,10.1016/j.media.2022.102426,2022,M&Ms
Machine learning for the automatic assessment of aortic rotational flow and wall shear stress from 4D flow cardiac magnetic resonance imaging,10.1007/s00330-022-09068-9,2022,M&Ms
A Systematic Collection of Medical Image Datasets for Deep Learning,10.48550/arxiv.2106.12864,2021,M&Ms
The Liver Tumor Segmentation Benchmark (LiTS),10.1016/j.media.2022.102680,2019,Medical Decathlon
Robust deep learning-based semantic organ segmentation in hyperspectral images,10.1016/j.media.2022.102488,2021,Medical Decathlon
A lightweight neural network with multiscale feature enhancement for liver CT segmentation,10.1038/s41598-022-16828-6,2022,Medical Decathlon
Survey of Supervised Learning for Medical Image Processing,10.1007/s42979-022-01166-1,2022,Medical Decathlon
Enhancing MR image segmentation with realistic adversarial data augmentation,10.1016/j.media.2022.102597,2021,Medical Decathlon
MedMNIST v2 -- A large-scale lightweight benchmark for 2D and 3D  biomedical image classification,10.48550/arxiv.2110.14795,2021,Medical Decathlon
<scp>Cross‐Cohort</scp> Automatic Knee <scp>MRI</scp> Segmentation With <scp>Multi‐Planar U‐Nets</scp>,10.1002/jmri.27978,2021,Medical Decathlon
WVALE: Weak variational autoencoder for localisation and enhancement of COVID-19 lung infections,10.1016/j.cmpb.2022.106883,2022,Medical Decathlon
Visual ensemble selection of deep convolutional neural networks for 3D segmentation of breast tumors on dynamic contrast enhanced MRI,10.1007/s00330-022-09113-7,2022,Medical Decathlon
A medical image segmentation method based on multi-dimensional statistical features,10.3389/fnins.2022.1009581,2022,Medical Decathlon
Model-Agnostic Multi-Domain Learning with Domain-Specific Adapters for Action Recognition,10.1587/transinf.2022edp7058,2022,Medical Decathlon
MedMNIST v2 - A large-scale lightweight benchmark for 2D and 3D biomedical image classification,10.1038/s41597-022-01721-8,2023,Medical Decathlon
A Fusion Biopsy Framework for Prostate Cancer Based on Deformable Superellipses and nnU-Net,10.3390/bioengineering9080343,2022,Medical Decathlon
DeepEdit: Deep Editable Learning for Interactive Segmentation of 3D Medical Images,10.1007/978-3-031-17027-0_2,2022,Medical Decathlon
A comprehensive survey of deep learning research on medical image analysis with focus on transfer learning,10.1016/j.clinimag.2022.11.003,2022,Medical Decathlon
Causality-inspired Single-source Domain Generalization for Medical Image  Segmentation,10.48550/arxiv.2111.12525,2021,Medical Decathlon
Brain Tumor Segmentation using 3D U-Net with Hyperparameter Optimization,10.1109/niles53778.2021.9600556,2021,Medical Decathlon
AI-based image quality assessment in CT,10.1101/2022.07.04.22277205,2022,Medical Decathlon
Exploiting the Dixon Method for a Robust Breast and Fibro-Glandular Tissue Segmentation in Breast MRI,10.3390/diagnostics12071690,2022,Medical Decathlon
Deep Convolutional Neural Networks Enable Discrimination of Heterogeneous Digital Pathology Images,10.1016/j.ebiom.2017.12.026,2017,I2CVB
A new era: artificial intelligence and machine learning in prostate cancer,10.1038/s41585-019-0193-3,2019,I2CVB
USE-Net: Incorporating Squeeze-and-Excitation blocks into U-Net for prostate zonal segmentation of multi-institutional MRI datasets,10.1016/j.neucom.2019.07.006,2019,I2CVB
Joint Prostate Cancer Detection and Gleason Score Prediction in mp-MRI via FocalNet,10.1109/tmi.2019.2901928,2019,I2CVB
Computer-aided diagnosis of prostate cancer using a deep convolutional neural network from multiparametric MRI,10.1002/jmri.26047,2018,I2CVB
A systematic survey of computer-aided diagnosis in medicine: Past and present developments,10.1016/j.eswa.2019.112821,2019,I2CVB
MS-Net: Multi-Site Network for Improving Prostate Segmentation With Heterogeneous MRI Data,10.1109/tmi.2020.2974574,2020,I2CVB
Co-trained convolutional neural networks for automated detection of prostate cancer in multi-parametric MRI,10.1016/j.media.2017.08.006,2017,I2CVB
Texture analysis of medical images for radiotherapy applications,10.1259/bjr.20160642,2017,I2CVB
Automated Detection of Clinically Significant Prostate Cancer in mp-MRI Images Based on an End-to-End Deep Neural Network,10.1109/tmi.2017.2789181,2018,I2CVB
Radiomic features from pretreatment biparametric MRI predict prostate cancer biochemical recurrence: Preliminary findings,10.1002/jmri.26178,2018,I2CVB
Automatic Assessment of Depression Based on Visual Cues: A Systematic Review,10.1109/taffc.2017.2724035,2019,I2CVB
Multiparametric MRI and radiomics in prostate cancer: a review,10.1007/s13246-019-00730-z,2019,I2CVB
Computer simulations suggest that prostate enlargement due to benign prostatic hyperplasia mechanically impedes prostate cancer growth,10.1073/pnas.1815735116,2019,I2CVB
Deep Learning-Based Gleason Grading of Prostate Cancer From Histopathology Images—Role of Multiscale Decision Aggregation and Data Augmentation,10.1109/jbhi.2019.2944643,2020,I2CVB
Radiomics and machine learning of multisequence multiparametric prostate MRI: Towards improved non-invasive prostate cancer characterization,10.1371/journal.pone.0217702,2019,I2CVB
Radiomics based targeted radiotherapy planning (Rad-TRaP): a computational framework for prostate cancer treatment planning with MRI,10.1186/s13014-016-0718-3,2016,I2CVB
A Deep Learning-Based Approach for the Detection and Localization of Prostate Cancer in T2 Magnetic Resonance Images,10.1007/s10278-018-0160-1,2019,I2CVB
T2w‐MRI signal normalization affects radiomics features reproducibility,10.1002/mp.14038,2020,I2CVB
Factors Influencing Variability in the Performance of Multiparametric Magnetic Resonance Imaging in Detecting Clinically Significant Prostate Cancer: A Systematic Literature Review,10.1016/j.euo.2020.02.005,2020,I2CVB
FedDG: Federated Domain Generalization on Medical Image Segmentation via Episodic Learning in Continuous Frequency Space,10.1109/cvpr46437.2021.00107,2021,I2CVB
Semi-automatic classification of prostate cancer on multi-parametric MR imaging using a multi-channel 3D convolutional neural network,10.1007/s00330-019-06417-z,2020,I2CVB
A collaborative computer aided diagnosis (C-CAD) system with eye-tracking sparse attentional model and deep learning,10.1016/j.media.2018.10.010,2019,I2CVB
Automated Prostate Gland Segmentation Based on an Unsupervised Fuzzy C-Means Clustering Technique Using Multispectral T1w and T2w MR Imaging,10.3390/info8020049,2017,I2CVB
Multiparametric magnetic resonance imaging of the prostate with computer-aided detection: experienced observer performance study,10.1007/s00330-017-4805-0,2017,I2CVB
Deep Convolutional Neural Networks for Computer-Aided Detection: CNN Architectures Dataset Characteristics and Transfer Learning,10.1109/tmi.2016.2528162,2016,BRATS
Efficient multi-scale 3D CNN with fully connected CRF for accurate brain lesion segmentation,10.1016/j.media.2016.10.004,2017,BRATS
Brain Tumor Segmentation Using Convolutional Neural Networks in MRI Images,10.1109/tmi.2016.2538465,2016,BRATS
Advancing The Cancer Genome Atlas glioma MRI collections with expert segmentation labels and radiomic features,10.1038/sdata.2017.117,2017,BRATS
nnU-Net: a self-configuring method for deep learning-based biomedical image segmentation,10.1038/s41592-020-01008-z,2021,BRATS
Generalised Dice Overlap as a Deep Learning Loss Function for Highly Unbalanced Segmentations,10.1007/978-3-319-67558-9_28,2017,BRATS
UNet++: Redesigning Skip Connections to Exploit Multiscale Features in Image Segmentation,10.1109/tmi.2019.2959609,2020,BRATS
CE-Net: Context Encoder Network for 2D Medical Image Segmentation,10.1109/tmi.2019.2903562,2019,BRATS
MultiResUNet : Rethinking the U-Net architecture for multimodal biomedical image segmentation,10.1016/j.neunet.2019.08.025,2020,BRATS
Deep Learning for Brain MRI Segmentation: State of the Art and Future Directions,10.1007/s10278-017-9983-4,2017,BRATS
Deep Learning: A Primer for Radiologists,10.1148/rg.2017170077,2017,BRATS
Applications of Deep Learning and Reinforcement Learning to Biological Data,10.1109/tnnls.2018.2790388,2018,BRATS
VoxResNet: Deep voxelwise residual networks for brain segmentation from 3D MR images,10.1016/j.neuroimage.2017.04.041,2017,BRATS
The Importance of Skip Connections in Biomedical Image Segmentation,10.1007/978-3-319-46976-8_19,2016,BRATS
A deep learning model integrating FCNNs and CRFs for brain tumor segmentation,10.1016/j.media.2017.10.002,2018,BRATS
Interactive Medical Image Segmentation Using Deep Learning With Image-Specific Fine Tuning,10.1109/tmi.2018.2791721,2018,BRATS
The future of digital health with federated learning,10.1038/s41746-020-00323-1,2020,BRATS
3D MRI Brain Tumor Segmentation Using Autoencoder Regularization,10.1007/978-3-030-11726-9_28,2018,BRATS
NiftyNet: a deep-learning platform for medical imaging,10.1016/j.cmpb.2018.01.025,2018,BRATS
Automatic Brain Tumor Detection and Segmentation Using U-Net Based Fully Convolutional Networks,10.1007/978-3-319-60964-5_44,2017,BRATS
Deep Multimodal Learning: A Survey on Recent Advances and Trends,10.1109/msp.2017.2738401,2017,BRATS
Review of MRI-based Brain Tumor Image Segmentation Using Deep Learning Methods,10.1016/j.procs.2016.09.407,2016,BRATS
ISLES 2015 - A public evaluation benchmark for ischemic stroke lesion segmentation from multispectral MRI,10.1016/j.media.2016.07.009,2017,BRATS
SegAN: Adversarial Network with Multi-scale L1 Loss for Medical Image Segmentation,10.1007/s12021-018-9377-x,2018,BRATS
Preparing Medical Imaging Data for Machine Learning,10.1148/radiol.2020192224,2020,BRATS
